
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
17,Lou Amundson,PF,6-9,220,December 7 1982,7,University of Nevada Las Vegas
14,D.J. Augustin,PG,6-0,183,November 10 1987,5,University of Texas at Austin
5,Carlos Boozer,PF,6-9,258,November 20 1981,11,Duke University
11,Ronnie Brewer,SF,6-7,220,March 20 1985,7,University of Arkansas
21,Jimmy Butler,SG,6-7,220,September 14 1989,2,Marquette University
9,Luol Deng,SF,6-9,220,April 16 1985,9,Duke University
34,Mike Dunleavy,SF,6-9,230,September 15 1980,11,Duke University
32,Jimmer Fredette,SG,6-2,195,February 25 1989,2,Brigham Young University
22,Taj Gibson,PF,6-9,225,June 24 1985,4,University of Southern California
12,Kirk Hinrich,PG,6-4,190,January 2 1981,10,University of Kansas
8,Mike James,PG,6-2,188,June 23 1975,11,Duquesne University
15,Cartier Martin,SF,6-7,220,November 20 1984,5,Kansas State University
48,Nazr Mohammed,C,6-10,221,September 5 1977,15,University of Kentucky
31,Erik Murphy,C,6-10,230,October 26 1990,R,University of Florida
13,Joakim Noah,C,6-11,232,February 25 1985,6,University of Florida
1,Derrick Rose,PG,6-3,190,October 4 1988,4,University of Memphis
7,Tornike Shengelia,SF,6-9,217,October 5 1991,1,
20,Tony Snell,SG,6-7,200,November 10 1991,R,University of New Mexico
25,Marquis Teague,SG,6-2,189,February 28 1993,1,University of Kentucky
32,Jarvis Varnado,PF,6-9,230,March 1 1988,1,Mississippi State University
