
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Andrea Bargnani,PF,7-0,245,October 26 1985,R,
4,Chris Bosh,C,6-11,235,March 24 1984,3,Georgia Institute of Technology
8,Jose Calderon,PG,6-3,200,September 28 1981,1,
3,Juan Dixon,SG,6-3,164,October 9 1978,4,University of Maryland
11,T.J. Ford,PG,6-0,165,March 24 1983,2,University of Texas at Austin
15,Jorge Garbajosa,PF,6-9,245,December 19 1977,R,
14,Joey Graham,SF,6-7,225,June 11 1982,1,Oklahoma State University
43,Kris Humphries,PF,6-9,235,February 6 1985,2,University of Minnesota
6,Luke Jackson,SF,6-7,215,November 6 1981,2,University of Oregon
20,Fred Jones,SG,6-4,210,March 11 1979,4,University of Oregon
2,Darrick Martin,PG,5-11,170,March 6 1971,11,University of California Los Angeles
12,Rasho Nesterovic,C,7-0,248,May 30 1976,8,
18,Anthony Parker,SG,6-6,215,June 19 1975,3,Bradley University
24,Morris Peterson,SF,6-7,218,August 26 1977,6,Michigan State University
10,Uros Slokar,C,6-10,238,May 14 1983,R,
9,Pape Sow,C,6-10,250,November 22 1981,2,California State University Fullerton
1,P.J. Tucker,SF,6-6,245,May 5 1985,R,University of Texas at Austin
