
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Andris Biedrins,C,6-11,240,April 2 1986,1,
3,Will Bynum,PG,6-0,185,January 4 1983,R,Georgia Institute of Technology
11,Zarko Cabarkapa,PF,6-11,235,May 21 1981,2,
40,Calbert Cheaney,SF,6-7,209,July 17 1971,12,Indiana University
5,Baron Davis,PG,6-3,209,April 13 1979,6,University of California Los Angeles
9,Ike Diogu,PF,6-8,250,September 11 1983,R,Arizona State University
34,Mike Dunleavy,SF,6-9,230,September 15 1980,3,Duke University
8,Monta Ellis,SG,6-3,185,October 26 1985,R,
4,Derek Fisher,PG,6-1,200,August 9 1974,9,University of Arkansas at Little Rock
31,Adonal Foyle,C,6-10,250,March 9 1975,8,Colgate University
0,Aaron Miles,PG,6-1,175,April 13 1983,R,University of Kansas
1,Troy Murphy,PF,6-11,245,May 2 1980,4,University of Notre Dame
2,Mickael Pietrus,SF,6-6,215,February 7 1982,2,
23,Jason Richardson,SG,6-6,220,January 20 1981,4,Michigan State University
21,Chris Taft,C,6-10,260,March 10 1985,R,University of Pittsburgh
