
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Marcus Banks,PG,6-2,200,November 19 1981,6,University of Nevada Las Vegas
7,Andrea Bargnani,PF,7-0,245,October 26 1985,3,
0,Marco Belinelli,SG,6-5,210,March 25 1986,2,
4,Chris Bosh,C,6-11,235,March 24 1984,6,Georgia Institute of Technology
8,Jose Calderon,PG,6-3,200,September 28 1981,4,
10,DeMar DeRozan,SG,6-7,220,August 7 1989,R,University of Southern California
30,Reggie Evans,PF,6-8,245,May 18 1980,7,University of Iowa
1,Jarrett Jack,PG,6-3,200,October 28 1983,4,Georgia Institute of Technology
15,Amir Johnson,PF,6-9,240,May 1 1987,4,
44,Pops Mensah-Bonsu,PF,6-9,240,September 7 1983,2,George Washington University
12,Rasho Nesterovic,C,7-0,248,May 30 1976,11,
13,Patrick O'Bryant,C,7-0,260,June 20 1986,3,Bradley University
26,Hedo Turkoglu,SF,6-10,220,March 19 1979,9,
24,Sonny Weems,SG,6-6,205,July 8 1986,1,University of Arkansas
21,Antoine Wright,SF,6-7,210,February 6 1984,4,Texas A&amp;M University
