
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,Jeff Ayres,PF,6-9,240,April 29 1987,3,Arizona State University
16,Aron Baynes,C,6-10,260,December 9 1986,1,Washington State University
3,Marco Belinelli,SF,6-5,210,March 25 1986,6,
15,Matt Bonner,PF,6-10,235,April 5 1980,9,University of Florida
1,Shannon Brown,SG,6-4,205,November 29 1985,7,Michigan State University
23,Austin Daye,SF,6-11,220,June 5 1988,4,Gonzaga University
25,Nando De Colo,SF,6-5,200,June 23 1987,1,
33,Boris Diaw,PF,6-8,250,April 16 1982,10,
21,Tim Duncan,C,6-11,250,April 25 1976,16,Wake Forest University
20,Manu Ginobili,SG,6-6,205,July 28 1977,11,
4,Danny Green,SG,6-6,215,June 22 1987,4,University of North Carolina
7,Damion James,G-F,6-7,225,October 7 1987,3,University of Texas at Austin
7,Othyus Jeffers,SG,6-5,200,August 5 1985,2,Robert Morris University (IL)
5,Cory Joseph,SG,6-3,190,August 20 1991,2,University of Texas at Austin
2,Kawhi Leonard,SF,6-7,230,June 29 1991,2,San Diego State University
8,Patrick Mills,PG,6-0,185,August 11 1988,4,Saint Mary's College of California
9,Tony Parker,PG,6-2,185,May 17 1982,12,
22,Tiago Splitter,C,6-11,245,January 1 1985,3,
24,Malcolm Thomas,PF,6-9,225,November 8 1988,2,San Diego State University
