
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Quincy Acy,SF,6-7,240,October 6 1990,1,Baylor University
14,D.J. Augustin,PG,6-0,183,November 10 1987,5,University of Texas at Austin
13,Dwight Buycks,PG,6-3,190,March 6 1989,R,Marquette University
5,Austin Daye,SF,6-11,220,June 5 1988,4,Gonzaga University
3,Nando De Colo,SF,6-5,200,June 23 1987,1,
10,DeMar DeRozan,SG,6-7,220,August 7 1989,4,University of Southern California
2,Landry Fields,SF,6-7,210,June 27 1988,3,Stanford University
22,Rudy Gay,SF,6-8,230,August 17 1986,7,University of Connecticut
34,Aaron Gray,C,7-0,270,December 7 1984,6,University of Pittsburgh
50,Tyler Hansbrough,PF,6-9,250,November 3 1985,4,University of North Carolina
44,Chuck Hayes,C,6-6,240,June 11 1983,8,University of Kentucky
15,Amir Johnson,PF,6-9,240,May 1 1987,8,
7,Kyle Lowry,PG,6-0,205,March 25 1986,7,Villanova University
16,Steve Novak,PF,6-10,225,June 13 1983,7,Marquette University
54,Patrick Patterson,PF,6-9,235,March 14 1989,3,University of Kentucky
31,Terrence Ross,SG,6-7,195,February 5 1991,1,University of Washington
25,John Salmons,SG,6-7,210,December 12 1979,11,University of Miami
77,Julyan Stone,SG,6-6,200,December 7 1988,2,University of Texas at El Paso
17,Jonas Valanciunas,C,7-0,255,May 6 1992,1,
21,Greivis Vasquez,SG,6-6,217,January 16 1987,3,University of Maryland
