
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Mike Bibby,PG,6-1,190,May 13 1978,11,University of Arizona
34,Jason Collins,C,7-0,255,December 2 1978,8,Stanford University
11,Jamal Crawford,SG,6-5,195,March 20 1980,9,University of Michigan
1,Maurice Evans,SF,6-5,220,November 8 1978,6,University of Texas at Austin
15,Al Horford,C,6-10,245,June 3 1986,2,University of Florida
50,Othello Hunter,SF,6-8,225,May 28 1986,1,Ohio State University
2,Joe Johnson,SG,6-7,240,June 29 1981,8,University of Arkansas
33,Randolph Morris,PF,6-10,266,January 2 1986,3,University of Kentucky
27,Zaza Pachulia,C,6-11,270,February 10 1984,6,
32,Joe Smith,PF,6-10,225,July 26 1975,14,University of Maryland
5,Josh Smith,PF,6-9,225,December 5 1985,5,
0,Jeff Teague,PG,6-2,186,June 10 1988,R,Wake Forest University
6,Mario West,SG,6-5,210,June 19 1984,2,Georgia Institute of Technology
24,Marvin Williams,SF,6-9,237,June 19 1986,4,University of North Carolina
