
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Andris Biedrins,C,6-11,240,April 2 1986,R,
11,Zarko Cabarkapa,PF,6-11,235,May 21 1981,1,
40,Calbert Cheaney,SG,6-7,209,July 17 1971,11,Indiana University
10,Speedy Claxton,PG,5-11,166,May 8 1978,3,Hofstra University
5,Baron Davis,PG,6-3,209,April 13 1979,5,University of California Los Angeles
32,Dale Davis,C,6-11,230,March 25 1969,13,Clemson University
34,Mike Dunleavy,SF,6-9,230,September 15 1980,2,Duke University
4,Derek Fisher,PG,6-1,200,August 9 1974,8,University of Arkansas at Little Rock
6,Luis Flores,PG,6-2,200,April 11 1981,R,Manhattan College
31,Adonal Foyle,C,6-10,250,March 9 1975,7,Colgate University
1,Troy Murphy,PF,6-11,245,May 2 1980,3,University of Notre Dame
21,Eduardo Najera,PF,6-8,240,July 11 1976,4,University of Oklahoma
2,Mickael Pietrus,SF,6-6,215,February 7 1982,1,
23,Jason Richardson,SG,6-6,220,January 20 1981,3,Michigan State University
3,Clifford Robinson,C,6-10,225,December 16 1966,15,University of Connecticut
5,Ansu Sesay,SF,6-9,225,July 29 1976,3,University of Mississippi
20,Nikoloz Tskitishvili,PF,7-0,225,April 14 1983,2,
3,Rodney White,SF,6-9,238,June 28 1980,3,University of North Carolina at Charlotte
