
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Hilton Armstrong,PF,6-11,235,November 11 1984,3,University of Connecticut
6,Bobby Brown,PG,6-2,175,September 24 1984,1,California State University Fullerton
23,Devin Brown,SG,6-5,220,December 30 1978,7,University of Texas at San Antonio
2,Darren Collison,PG,6-0,175,August 23 1987,R,University of California Los Angeles
34,Aaron Gray,C,7-0,270,December 7 1984,2,University of Pittsburgh
11,Jason Hart,PG,6-3,185,April 29 1978,8,Syracuse University
4,Sean Marks,C,6-10,250,August 23 1975,9,University of California
50,Emeka Okafor,C,6-10,252,September 28 1982,5,University of Connecticut
3,Chris Paul,PG,6-0,175,May 6 1985,4,Wake Forest University
24,Morris Peterson,SG,6-7,218,August 26 1977,9,Michigan State University
41,James Posey,SF,6-8,215,January 13 1977,10,Xavier University
9,Darius Songaila,C,6-9,248,February 14 1978,6,Wake Forest University
16,Peja Stojakovic,SF,6-9,220,June 9 1977,11,
5,Marcus Thornton,SG,6-4,205,June 5 1987,R,Louisiana State University
30,David West,PF,6-9,250,August 29 1980,6,Xavier University
32,Julian Wright,SF,6-8,225,May 20 1987,2,University of Kansas
