
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Omer Asik,C,7-0,255,July 4 1986,R,
6,Keith Bogans,SG,6-5,215,May 12 1980,7,University of Kentucky
5,Carlos Boozer,C,6-9,258,November 20 1981,8,Duke University
11,Ronnie Brewer,SG,6-7,220,March 20 1985,4,University of Arkansas
45,Rasual Butler,SG,6-7,215,May 23 1979,8,La Salle University
9,Luol Deng,SF,6-9,220,April 16 1985,6,Duke University
22,Taj Gibson,PF,6-9,225,June 24 1985,1,University of Southern California
16,James Johnson,SF,6-9,250,February 20 1987,1,Wake Forest University
26,Kyle Korver,SG,6-7,212,March 17 1981,7,Creighton University
15,John Lucas III,PG,5-11,165,November 21 1982,2,Oklahoma State University
13,Joakim Noah,C,6-11,232,February 25 1985,3,University of Florida
1,Derrick Rose,PG,6-3,190,October 4 1988,2,University of Memphis
24,Brian Scalabrine,PF,6-9,241,March 18 1978,9,University of Southern California
40,Kurt Thomas,PF,6-9,230,October 4 1972,15,Texas Christian University
32,C.J. Watson,PG,6-2,175,April 17 1984,3,University of Tennessee
