
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Trevor Ariza,SF,6-8,215,June 30 1985,4,University of California Los Angeles
12,Shannon Brown,SG,6-4,205,November 29 1985,2,Michigan State University
24,Kobe Bryant,SG,6-6,212,August 23 1978,12,
17,Andrew Bynum,C,7-0,285,October 27 1987,3,
5,Jordan Farmar,PG,6-2,180,November 30 1986,2,University of California Los Angeles
2,Derek Fisher,PG,6-1,200,August 9 1974,12,University of Arkansas at Little Rock
16,Pau Gasol,C,7-0,250,July 6 1980,7,
28,Didier Ilunga-Mbenga,C,7-0,245,December 30 1980,4,
31,Chris Mihm,C,7-0,265,July 16 1979,7,University of Texas at Austin
6,Adam Morrison,SF,6-8,205,July 19 1984,1,Gonzaga University
7,Lamar Odom,PF,6-10,220,November 6 1979,9,University of Rhode Island
21,Josh Powell,PF,6-9,225,January 25 1983,3,North Carolina State University
10,Vladimir Radmanovic,SF,6-10,227,November 19 1980,7,
18,Sasha Vujacic,SG,6-7,195,March 8 1984,4,
4,Luke Walton,SF,6-8,235,March 28 1980,5,University of Arizona
9,Sun Yue,SG,6-9,205,November 6 1985,R,
