
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
54,Kwame Brown,C,6-11,270,March 10 1982,4,
8,Kobe Bryant,SG,6-6,212,August 23 1978,9,
17,Andrew Bynum,C,7-0,285,October 27 1987,R,
43,Brian Cook,PF,6-9,234,December 4 1980,2,University of Illinois at Urbana-Champaign
3,Devean George,SF,6-8,220,August 29 1977,6,Augsburg College
11,Devin Green,SG,6-7,210,October 25 1982,R,Hampton University
24,Jim Jackson,SF,6-6,220,October 14 1970,13,Ohio State University
2,Aaron McKie,PG,6-5,209,October 2 1972,11,Temple University
14,Stanislav Medvedenko,PF,6-10,250,April 4 1979,5,
31,Chris Mihm,C,7-0,265,July 16 1979,5,University of Texas at Austin
7,Lamar Odom,PF,6-10,220,November 6 1979,6,University of Rhode Island
1,Smush Parker,PG,6-4,190,June 1 1981,2,Fordham University
9,Laron Profit,SG,6-5,204,August 5 1977,3,University of Maryland
21,Ronny Turiaf,C,6-10,249,January 13 1983,R,Gonzaga University
18,Sasha Vujacic,PG,6-7,195,March 8 1984,1,
23,Von Wafer,SG,6-5,210,July 21 1985,R,Florida State University
4,Luke Walton,SF,6-8,235,March 28 1980,2,University of Arizona
