
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
0,Gilbert Arenas,PG,6-3,191,January 6 1982,7,University of Arizona
32,Andray Blatche,C,6-11,235,August 22 1986,3,
17,Dee Brown,PG,6-0,185,August 17 1984,1,University of Illinois at Urbana-Champaign
3,Caron Butler,SG,6-7,228,March 13 1980,6,University of Connecticut
8,Javaris Crittenton,PG,6-5,200,December 31 1987,1,Georgia Institute of Technology
6,Antonio Daniels,PG,6-4,195,March 19 1975,11,Bowling Green State University
12,Juan Dixon,PG,6-3,164,October 9 1978,6,University of Maryland
33,Brendan Haywood,C,7-0,268,November 27 1979,7,University of North Carolina
13,Mike James,PG,6-2,188,June 23 1975,7,Duquesne University
4,Antawn Jamison,PF,6-8,223,June 12 1976,10,University of North Carolina
34,JaVale McGee,C,7-0,270,January 19 1988,R,University of Nevada Reno
5,Dominic McGuire,SF,6-9,220,October 20 1985,1,California State University Fresno
14,Oleksiy Pecherov,C,7-0,232,December 8 1985,1,
9,Darius Songaila,C,6-9,248,February 14 1978,5,Wake Forest University
2,DeShawn Stevenson,SG,6-5,210,April 3 1981,8,
36,Etan Thomas,C,6-9,256,April 1 1978,6,Syracuse University
1,Nick Young,SG,6-7,210,June 1 1985,1,University of Southern California
