
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
85,Baron Davis,PG,6-3,209,April 13 1979,11,University of California Los Angeles
9,Semih Erden,C,7-0,240,July 28 1986,R,
8,Christian Eyenga,SF,6-5,210,June 22 1989,R,
33,Alonzo Gee,SG,6-6,225,May 29 1987,1,University of Alabama
1,Daniel Gibson,SG,6-2,190,February 27 1986,4,University of Texas at Austin
12,Joey Graham,SF,6-7,225,June 11 1982,5,Oklahoma State University
44,Luke Harangody,PF,6-8,246,January 2 1988,R,University of Notre Dame
6,Manny Harris,SG,6-5,185,September 21 1989,R,University of Michigan
21,J.J. Hickson,C,6-9,242,September 4 1988,2,North Carolina State University
5,Ryan Hollins,C,7-0,240,October 10 1984,4,University of California Los Angeles
4,Antawn Jamison,PF,6-8,223,June 12 1976,12,University of North Carolina
15,Jamario Moon,SF,6-8,205,June 13 1980,3,Meridian Community College
18,Anthony Parker,SF,6-6,215,June 19 1975,7,Bradley University
44,Leon Powe,PF,6-8,240,January 22 1984,4,University of California
24,Samardo Samuels,PF,6-9,260,January 9 1989,R,University of Louisville
3,Ramon Sessions,PG,6-3,190,April 11 1986,3,University of Nevada Reno
17,Anderson Varejao,C,6-10,273,September 28 1982,6,
31,Jawad Williams,SF,6-9,218,February 19 1983,2,University of North Carolina
2,Mo Williams,PG,6-1,198,December 19 1982,7,University of Alabama
