,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
2,42008,1610612741,Chicago Bulls,7,3,4,0.429,53.0,38.4,87.1,0.441,7.3,19.3,0.378,24.1,29.9,0.809,10.4,35.1,45.6,19.9,16.1,6.7,8.1,6.7,24.6,23.6,108.3,-4.3,10,Chicago Bulls
3,42008,1610612739,Cleveland Cavaliers,14,10,4,0.714,48.4,34.8,75.1,0.463,6.6,19.8,0.336,21.4,28.8,0.742,10.1,30.2,40.3,19.1,12.4,6.6,4.6,3.3,20.6,22.6,97.6,8.5,10,Cleveland Cavaliers
4,42008,1610612742,Dallas Mavericks,10,5,5,0.5,48.0,35.6,75.7,0.47,7.3,20.6,0.354,23.1,28.4,0.813,9.2,31.5,40.7,18.1,13.0,6.5,3.8,4.1,22.8,23.7,101.6,-0.9,10,Dallas Mavericks
5,42008,1610612743,Denver Nuggets,16,10,6,0.625,48.0,37.3,78.4,0.475,8.1,21.1,0.383,25.4,33.4,0.759,10.7,29.6,40.3,22.6,12.1,9.2,5.2,4.4,25.8,25.5,107.9,8.6,10,Denver Nuggets
6,42008,1610612765,Detroit Pistons,4,0,4,0.0,48.0,31.5,77.0,0.409,3.0,12.3,0.245,12.0,14.5,0.828,7.5,26.0,33.5,16.5,11.3,4.3,3.0,4.5,23.8,15.8,78.0,-15.5,10,Detroit Pistons
7,42008,1610612745,Houston Rockets,13,7,6,0.538,48.0,34.0,76.1,0.447,6.6,20.2,0.328,16.8,21.9,0.768,9.7,30.8,40.5,17.0,14.2,6.2,3.2,7.1,20.1,21.4,91.5,-1.5,10,Houston Rockets
8,42008,1610612747,Los Angeles Lakers,23,16,7,0.696,48.4,37.4,80.5,0.465,7.0,18.4,0.377,20.6,27.5,0.747,11.1,30.9,42.0,19.4,13.0,7.9,6.3,4.3,23.5,23.1,102.4,7.2,10,Los Angeles Lakers
9,42008,1610612748,Miami Heat,7,3,4,0.429,48.0,31.3,69.6,0.45,7.1,20.0,0.357,18.4,22.6,0.816,8.9,29.9,38.7,15.0,13.4,6.1,5.7,3.6,22.1,21.3,88.1,0.9,10,Miami Heat
10,42008,1610612740,New Orleans Hornets,5,1,4,0.2,48.0,27.8,70.2,0.396,6.0,18.4,0.326,22.6,28.0,0.807,9.2,27.8,37.0,15.8,18.4,6.6,2.6,5.2,24.8,24.8,84.2,-24.2,10,New Orleans Hornets
11,42008,1610612753,Orlando Magic,24,13,11,0.542,48.6,34.5,75.4,0.457,8.4,23.3,0.36,19.6,27.1,0.722,8.3,30.0,38.4,18.9,13.2,6.8,4.8,3.8,21.4,24.3,97.0,1.8,10,Orlando Magic
12,42008,1610612755,Philadelphia 76ers,6,2,4,0.333,48.0,34.0,75.0,0.453,5.8,15.8,0.368,14.7,20.7,0.71,8.0,28.8,36.8,17.8,14.7,6.2,3.0,5.0,23.0,20.2,88.5,-7.7,10,Philadelphia 76ers
13,42008,1610612757,Portland Trail Blazers,6,2,4,0.333,48.0,33.3,74.5,0.447,5.5,14.2,0.388,15.0,19.7,0.763,9.8,26.5,36.3,14.7,11.3,6.0,7.5,3.3,21.7,20.0,87.2,-5.3,10,Portland Trail Blazers
14,42008,1610612759,San Antonio Spurs,5,1,4,0.2,48.0,35.0,76.6,0.457,5.8,17.6,0.33,14.6,20.6,0.709,8.8,28.8,37.6,16.0,11.0,5.6,3.0,4.6,22.0,18.6,90.4,-6.0,10,San Antonio Spurs
15,42008,1610612762,Utah Jazz,5,1,4,0.2,48.0,35.0,81.0,0.432,5.0,14.6,0.342,22.4,30.2,0.742,13.2,29.4,42.6,25.4,14.6,9.8,3.4,5.6,23.8,24.4,97.4,-9.2,10,Utah Jazz
0,42009,1610612737,Atlanta Hawks,11,4,7,0.364,48.0,33.8,79.6,0.425,4.5,13.6,0.333,17.3,22.0,0.785,13.0,26.9,39.9,16.4,11.7,6.4,5.1,4.0,21.2,20.6,89.5,-6.8,10,Atlanta Hawks
1,42009,1610612738,Boston Celtics,24,15,9,0.625,48.2,34.3,75.7,0.453,5.8,16.0,0.363,19.5,25.8,0.755,8.8,30.3,39.1,21.1,13.9,8.0,4.6,5.4,24.6,22.7,93.9,2.8,10,Boston Celtics
2,42009,1610612766,Charlotte Bobcats,4,0,4,0.0,48.0,31.3,70.5,0.443,4.8,17.0,0.279,18.3,25.5,0.716,8.5,28.0,36.5,20.3,15.5,5.5,4.5,6.5,26.8,23.5,85.5,-9.3,10,Charlotte Bobcats
3,42009,1610612741,Chicago Bulls,5,1,4,0.2,48.0,37.8,86.2,0.439,3.2,10.8,0.296,18.2,22.8,0.798,10.8,30.2,41.0,19.0,10.0,5.8,3.0,8.2,21.4,21.0,97.0,-9.2,10,Chicago Bulls
4,42009,1610612739,Cleveland Cavaliers,11,6,5,0.545,48.0,34.9,74.5,0.469,7.2,20.6,0.348,23.2,31.3,0.741,8.6,31.1,39.7,21.1,14.9,6.1,6.6,4.2,21.9,24.5,100.2,1.3,10,Cleveland Cavaliers
5,42009,1610612742,Dallas Mavericks,6,2,4,0.333,48.0,34.0,79.3,0.429,6.3,19.3,0.328,18.5,23.3,0.793,12.0,31.8,43.8,18.5,13.0,7.5,5.0,3.2,22.5,19.8,92.8,-0.5,10,Dallas Mavericks
6,42009,1610612743,Denver Nuggets,6,2,4,0.333,48.0,37.3,78.5,0.476,6.5,18.2,0.358,28.2,36.8,0.765,10.3,29.3,39.7,19.2,13.7,8.2,4.7,4.3,30.8,27.8,109.3,-1.2,10,Denver Nuggets
7,42009,1610612747,Los Angeles Lakers,23,16,7,0.696,48.0,37.3,81.2,0.46,6.8,20.7,0.33,19.6,26.0,0.754,12.8,30.1,42.9,19.7,12.5,6.7,6.2,4.8,23.2,23.3,101.1,3.8,10,Los Angeles Lakers
8,42009,1610612748,Miami Heat,5,1,4,0.2,48.0,33.6,77.2,0.435,6.8,18.2,0.374,13.6,18.6,0.731,9.4,28.2,37.6,17.6,17.8,7.0,5.0,4.4,22.8,18.8,87.6,-8.2,10,Miami Heat
9,42009,1610612749,Milwaukee Bucks,7,3,4,0.429,48.0,33.7,79.6,0.424,6.6,21.3,0.309,16.0,19.9,0.806,11.1,28.0,39.1,16.3,12.4,6.3,3.3,6.9,21.0,19.1,90.0,-3.7,10,Milwaukee Bucks
10,42009,1610612760,Oklahoma City Thunder,6,2,4,0.333,48.0,30.7,78.5,0.391,5.5,18.5,0.297,27.0,32.3,0.835,11.7,31.7,43.3,16.2,12.5,6.5,6.2,6.2,22.8,24.8,93.8,-1.7,10,Oklahoma City Thunder
11,42009,1610612753,Orlando Magic,14,10,4,0.714,48.4,32.8,70.8,0.463,9.9,26.9,0.366,21.1,30.1,0.701,9.3,31.1,40.4,16.9,13.7,6.4,5.5,3.8,22.4,26.1,96.6,8.6,10,Orlando Magic
12,42009,1610612756,Phoenix Suns,16,10,6,0.625,48.0,38.0,79.6,0.477,9.4,24.4,0.384,21.8,28.1,0.773,10.7,29.4,40.1,20.8,12.6,5.9,4.1,5.2,22.4,23.3,107.1,4.6,10,Phoenix Suns
