,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
0,42012,1610612737,Atlanta Hawks,6,2,4,0.333,48.0,32.7,77.3,0.422,6.2,18.7,0.33,17.8,26.2,0.682,8.3,30.0,38.3,19.2,12.2,7.3,3.8,4.8,24.2,23.8,89.3,-5.2,10,Atlanta Hawks
1,42012,1610612738,Boston Celtics,6,2,4,0.333,48.8,28.5,69.0,0.413,6.8,20.7,0.331,18.5,21.5,0.86,5.2,33.8,39.0,16.8,17.3,5.5,3.0,4.3,18.8,21.3,82.3,-5.3,10,Boston Celtics
2,42012,1610612751,Brooklyn Nets,7,3,4,0.429,50.1,37.0,83.7,0.442,6.1,19.4,0.316,19.3,25.4,0.758,11.7,30.4,42.1,19.9,11.6,6.3,5.6,5.7,19.9,21.7,99.4,2.0,10,Brooklyn Nets
3,42012,1610612741,Chicago Bulls,12,5,7,0.417,49.3,35.0,79.9,0.438,5.4,17.0,0.319,16.5,22.9,0.72,11.8,29.0,40.8,19.5,14.3,6.4,4.6,5.8,22.4,21.2,91.9,-6.7,10,Chicago Bulls
4,42012,1610612743,Denver Nuggets,6,2,4,0.333,48.0,37.2,84.8,0.438,7.0,22.5,0.311,21.7,29.7,0.73,11.8,26.8,38.7,21.2,14.5,9.0,2.8,6.7,23.2,23.5,103.0,-4.2,10,Denver Nuggets
5,42012,1610612744,Golden State Warriors,12,6,6,0.5,49.3,39.0,84.4,0.462,8.7,22.3,0.388,16.0,21.8,0.736,11.5,34.6,46.1,21.7,16.5,6.4,4.9,3.5,23.8,21.9,102.7,0.2,10,Golden State Warriors
6,42012,1610612745,Houston Rockets,6,2,4,0.333,48.0,34.3,81.0,0.424,11.7,33.7,0.347,19.7,27.7,0.711,10.8,32.7,43.5,18.0,15.8,5.8,5.5,7.3,23.2,24.7,100.0,-5.8,10,Houston Rockets
7,42012,1610612754,Indiana Pacers,19,11,8,0.579,48.3,32.2,74.4,0.433,6.3,19.2,0.327,21.1,28.5,0.74,12.7,32.9,45.6,17.5,16.4,5.4,4.5,4.7,22.4,24.8,91.8,0.2,10,Indiana Pacers
8,42012,1610612746,Los Angeles Clippers,6,2,4,0.333,48.0,35.2,75.3,0.467,5.8,19.2,0.304,18.5,23.7,0.782,8.8,28.3,37.2,18.0,13.3,5.2,5.7,4.2,27.8,23.8,94.7,-5.5,10,Los Angeles Clippers
9,42012,1610612747,Los Angeles Lakers,4,0,4,0.0,48.0,34.5,78.0,0.442,5.0,18.5,0.27,11.3,18.5,0.608,8.5,31.5,40.0,18.5,16.5,5.8,5.3,5.0,17.5,18.0,85.3,-18.8,10,Los Angeles Lakers
10,42012,1610612763,Memphis Grizzlies,15,8,7,0.533,49.0,34.1,81.5,0.418,4.8,14.8,0.324,21.7,29.1,0.748,11.7,30.0,41.7,19.3,10.7,7.3,4.6,6.5,22.1,25.3,94.7,0.6,10,Memphis Grizzlies
11,42012,1610612748,Miami Heat,23,16,7,0.696,48.4,35.8,76.6,0.468,7.7,20.2,0.381,17.8,23.2,0.766,9.7,28.4,38.1,20.6,13.1,8.3,5.4,3.4,22.2,21.0,97.1,6.4,10,Miami Heat
12,42012,1610612749,Milwaukee Bucks,4,0,4,0.0,48.0,33.3,76.8,0.433,6.0,23.0,0.261,12.8,20.3,0.63,8.8,26.0,34.8,19.8,16.3,10.0,2.5,4.3,19.8,20.3,85.3,-14.8,10,Milwaukee Bucks
13,42012,1610612752,New York Knicks,12,6,6,0.5,48.4,33.3,81.0,0.41,8.0,23.3,0.343,14.1,18.0,0.782,10.7,28.8,39.5,15.1,11.6,8.8,4.3,4.2,23.8,18.9,88.6,2.7,10,New York Knicks
14,42012,1610612760,Oklahoma City Thunder,11,5,6,0.455,48.5,34.8,81.6,0.427,8.6,24.7,0.349,20.2,24.1,0.838,9.8,33.1,42.9,18.1,13.6,6.0,7.0,4.9,24.9,22.1,98.5,1.4,10,Oklahoma City Thunder
15,42012,1610612759,San Antonio Spurs,21,15,6,0.714,49.4,38.0,82.2,0.463,7.9,20.8,0.378,16.4,21.5,0.763,9.7,32.9,42.6,21.9,12.9,7.9,5.0,4.7,19.1,21.1,100.3,7.0,10,San Antonio Spurs
0,42013,1610612737,Atlanta Hawks,7,3,4,0.429,48.0,30.3,78.7,0.385,11.3,32.9,0.343,20.6,24.9,0.828,9.1,30.1,39.3,16.9,13.6,6.6,4.6,6.3,20.9,22.6,92.4,-1.0,10,Atlanta Hawks
1,42013,1610612751,Brooklyn Nets,12,5,7,0.417,48.0,34.8,75.1,0.463,7.8,22.7,0.342,18.3,24.8,0.737,10.0,27.8,37.8,18.3,12.3,6.9,2.8,4.0,22.3,22.6,95.5,-1.3,10,Brooklyn Nets
2,42013,1610612766,Charlotte Bobcats,4,0,4,0.0,48.0,33.8,75.3,0.449,7.8,21.3,0.365,16.8,23.5,0.713,8.3,31.5,39.8,19.8,15.0,4.3,4.5,4.5,20.3,19.8,92.0,-9.8,10,Charlotte Bobcats
3,42013,1610612741,Chicago Bulls,5,1,4,0.2,49.0,33.2,78.6,0.422,6.4,19.2,0.333,17.2,22.8,0.754,12.2,29.6,41.8,20.2,13.2,5.0,4.4,6.6,22.0,22.2,90.0,-4.6,10,Chicago Bulls
4,42013,1610612742,Dallas Mavericks,7,3,4,0.429,48.0,39.1,86.7,0.451,8.4,22.4,0.376,14.4,18.9,0.765,11.7,29.0,40.7,19.1,11.4,6.6,4.1,3.6,20.3,19.6,101.1,-2.0,10,Dallas Mavericks
5,42013,1610612744,Golden State Warriors,7,3,4,0.429,48.0,38.3,83.1,0.46,9.6,26.3,0.364,20.3,27.9,0.728,13.1,29.6,42.7,24.4,17.3,7.0,4.6,5.1,25.3,23.0,106.4,-4.4,10,Golden State Warriors
6,42013,1610612745,Houston Rockets,6,2,4,0.333,50.5,40.8,91.7,0.445,8.2,25.7,0.318,22.2,29.8,0.743,16.7,32.5,49.2,18.3,13.8,6.0,5.0,9.2,26.0,24.8,112.0,0.3,10,Houston Rockets
7,42013,1610612754,Indiana Pacers,19,10,9,0.526,48.0,33.6,74.5,0.451,7.3,19.3,0.38,17.0,23.4,0.727,8.2,31.3,39.5,18.8,13.6,7.1,4.2,4.3,20.7,21.6,91.6,-1.0,10,Indiana Pacers
8,42013,1610612746,Los Angeles Clippers,13,6,7,0.462,48.0,39.4,85.4,0.461,9.2,25.8,0.355,20.8,28.5,0.73,11.4,28.4,39.8,23.8,12.6,9.4,4.4,4.8,24.3,24.1,108.8,2.0,10,Los Angeles Clippers
9,42013,1610612763,Memphis Grizzlies,7,3,4,0.429,50.9,36.7,88.1,0.417,4.4,15.3,0.29,18.9,25.9,0.729,12.9,29.9,42.7,21.7,11.1,9.0,2.4,7.6,20.9,23.0,96.7,-5.4,10,Memphis Grizzlies
10,42013,1610612748,Miami Heat,20,13,7,0.65,48.0,35.4,72.2,0.491,9.3,23.5,0.396,17.2,22.0,0.78,6.0,28.1,34.0,18.3,12.2,7.4,3.9,2.8,20.7,19.6,97.3,1.8,10,Miami Heat
11,42013,1610612760,Oklahoma City Thunder,19,10,9,0.526,49.3,36.6,81.4,0.45,7.5,23.3,0.323,21.8,26.6,0.82,11.2,34.1,45.2,19.3,15.1,6.3,6.2,3.1,23.0,22.2,102.5,-1.1,10,Oklahoma City Thunder
12,42013,1610612757,Portland Trail Blazers,11,5,6,0.455,49.4,38.4,87.7,0.437,7.9,22.8,0.347,19.6,24.6,0.797,11.7,32.5,44.2,17.5,13.8,5.9,6.0,4.3,22.5,23.3,104.3,-6.3,10,Portland Trail Blazers
13,42013,1610612759,San Antonio Spurs,23,16,7,0.696,48.2,39.7,80.9,0.491,8.8,21.6,0.409,18.0,23.5,0.767,9.4,32.6,42.0,22.2,12.6,8.1,3.5,3.7,19.8,21.6,106.3,9.3,10,San Antonio Spurs
14,42013,1610612761,Toronto Raptors,7,3,4,0.429,48.0,32.7,74.1,0.441,6.6,21.0,0.313,24.1,29.0,0.833,10.1,31.6,41.7,17.7,15.3,5.6,3.0,3.6,25.9,24.1,96.1,-1.6,10,Toronto Raptors
15,42013,1610612764,Washington Wizards,11,6,5,0.545,48.5,34.5,79.7,0.432,5.6,16.8,0.335,15.8,22.7,0.696,11.7,33.2,44.9,19.5,12.8,7.5,5.6,4.3,22.3,21.2,90.4,0.9,10,Washington Wizards
0,42014,1610612737,Atlanta Hawks,16,8,8,0.5,48.6,36.9,85.6,0.431,9.1,28.6,0.317,15.2,19.4,0.781,9.8,33.9,43.7,23.8,12.7,8.5,4.9,4.3,19.7,19.2,98.0,-0.2,10,Atlanta Hawks
1,42014,1610612738,Boston Celtics,4,0,4,0.0,48.0,34.8,82.8,0.42,5.5,21.5,0.256,19.8,25.5,0.775,10.0,30.8,40.8,20.0,13.5,5.3,3.8,7.8,26.8,23.3,94.8,-9.3,10,Boston Celtics
2,42014,1610612751,Brooklyn Nets,6,2,4,0.333,48.8,36.2,83.2,0.435,8.5,24.0,0.354,15.5,20.8,0.744,9.5,35.0,44.5,21.7,14.3,7.5,3.3,4.7,19.0,18.5,96.3,-5.5,10,Brooklyn Nets
3,42014,1610612741,Chicago Bulls,12,6,6,0.5,48.8,35.1,83.8,0.419,9.2,24.6,0.373,16.7,21.5,0.775,11.7,33.8,45.4,22.2,14.0,7.2,6.6,7.1,18.8,20.3,96.0,3.4,10,Chicago Bulls
4,42014,1610612739,Cleveland Cavaliers,20,14,6,0.7,48.8,34.7,82.7,0.42,9.8,28.7,0.34,19.9,26.9,0.738,12.3,34.9,47.1,18.0,13.0,6.3,6.4,4.7,20.9,22.5,99.0,4.0,10,Cleveland Cavaliers
5,42014,1610612742,Dallas Mavericks,5,1,4,0.2,48.0,41.6,92.0,0.452,7.6,24.4,0.311,19.2,25.2,0.762,13.6,33.8,47.4,21.2,14.2,7.0,4.6,5.2,27.2,24.6,110.0,-4.2,10,Dallas Mavericks
6,42014,1610612744,Golden State Warriors,21,16,5,0.762,48.7,38.2,84.2,0.453,11.4,30.5,0.374,15.5,22.1,0.699,11.6,34.0,45.6,24.5,14.6,8.0,5.8,4.7,22.4,20.9,103.3,7.8,10,Golden State Warriors
7,42014,1610612745,Houston Rockets,17,9,8,0.529,48.0,37.4,83.4,0.448,9.5,27.5,0.344,24.0,36.7,0.654,10.9,34.8,45.7,21.9,15.5,8.4,5.5,5.4,23.4,27.2,108.2,-2.5,10,Houston Rockets
8,42014,1610612746,Los Angeles Clippers,14,7,7,0.5,48.4,39.5,84.8,0.466,8.4,25.4,0.329,20.4,30.6,0.667,9.6,35.0,44.6,22.5,13.1,8.6,5.9,4.9,24.8,25.1,107.8,1.4,10,Los Angeles Clippers
9,42014,1610612763,Memphis Grizzlies,11,6,5,0.545,48.0,35.7,84.1,0.425,4.4,14.0,0.312,18.9,22.7,0.832,10.5,32.9,43.5,20.4,11.0,8.6,4.1,5.6,19.4,20.4,94.7,-1.3,10,Memphis Grizzlies
10,42014,1610612749,Milwaukee Bucks,6,2,4,0.333,49.7,34.2,88.2,0.388,5.5,18.2,0.303,14.7,20.8,0.704,12.2,31.5,43.7,20.3,13.2,10.8,6.7,7.0,21.2,18.8,88.5,-12.3,10,Milwaukee Bucks
11,42014,1610612740,New Orleans Pelicans,4,0,4,0.0,49.3,38.0,84.3,0.451,6.8,21.3,0.318,18.0,22.3,0.809,10.8,31.3,42.0,23.3,13.5,7.5,5.8,6.3,23.8,19.8,100.8,-8.0,10,New Orleans Pelicans
12,42014,1610612757,Portland Trail Blazers,5,1,4,0.2,48.0,33.4,83.6,0.4,9.2,26.2,0.351,17.8,21.6,0.824,10.0,34.2,44.2,16.6,11.6,3.4,5.2,6.2,20.6,20.0,93.8,-6.8,10,Portland Trail Blazers
13,42014,1610612759,San Antonio Spurs,7,3,4,0.429,48.7,38.3,85.3,0.449,9.6,26.1,0.366,17.3,25.4,0.68,11.7,34.7,46.4,24.1,12.1,6.1,4.7,6.1,24.9,20.9,103.4,0.4,10,San Antonio Spurs
14,42014,1610612761,Toronto Raptors,4,0,4,0.0,49.3,36.8,88.3,0.416,7.5,25.0,0.3,15.3,21.3,0.718,8.8,29.8,38.5,19.5,12.0,7.5,2.3,6.5,25.0,20.5,96.3,-14.0,10,Toronto Raptors
15,42014,1610612764,Washington Wizards,10,6,4,0.6,48.5,37.3,84.5,0.441,9.4,23.3,0.403,17.1,23.7,0.722,11.6,35.6,47.2,23.1,14.5,7.1,5.3,4.8,20.0,21.9,101.1,3.9,10,Washington Wizards
0,42015,1610612737,Atlanta Hawks,1,1,0,1.0,48.0,35.0,86.0,0.407,5.0,26.0,0.192,27.0,35.0,0.771,13.0,40.0,53.0,23.0,12.0,4.0,9.0,6.0,20.0,32.0,102.0,1.0,10,Atlanta Hawks
1,42015,1610612738,Boston Celtics,1,0,1,0.0,48.0,37.0,102.0,0.363,11.0,35.0,0.314,16.0,19.0,0.842,15.0,35.0,50.0,27.0,10.0,6.0,6.0,9.0,32.0,20.0,101.0,-1.0,10,Boston Celtics
2,42015,1610612766,Charlotte Hornets,1,0,1,0.0,48.0,28.0,65.0,0.431,6.0,17.0,0.353,29.0,37.0,0.784,7.0,21.0,28.0,11.0,11.0,5.0,2.0,4.0,17.0,24.0,91.0,-32.0,10,Charlotte Hornets
3,42015,1610612739,Cleveland Cavaliers,1,1,0,1.0,48.0,39.0,88.0,0.443,12.0,35.0,0.343,16.0,21.0,0.762,12.0,28.0,40.0,25.0,5.0,7.0,4.0,2.0,18.0,21.0,106.0,5.0,10,Cleveland Cavaliers
4,42015,1610612742,Dallas Mavericks,2,1,1,0.5,48.0,30.0,83.0,0.361,4.5,18.5,0.243,13.0,22.5,0.578,10.0,29.0,39.0,15.0,13.0,6.5,2.0,5.0,21.0,22.0,77.5,-18.5,10,Dallas Mavericks
5,42015,1610612765,Detroit Pistons,1,0,1,0.0,48.0,37.0,73.0,0.507,15.0,29.0,0.517,12.0,16.0,0.75,5.0,32.0,37.0,24.0,12.0,4.0,2.0,4.0,21.0,18.0,101.0,-5.0,10,Detroit Pistons
6,42015,1610612744,Golden State Warriors,2,2,0,1.0,48.0,39.5,86.0,0.459,9.0,24.0,0.375,21.5,31.0,0.694,14.0,32.0,46.0,26.5,15.5,10.0,6.5,5.5,23.0,31.0,109.5,17.5,10,Golden State Warriors
7,42015,1610612745,Houston Rockets,2,0,2,0.0,48.0,32.5,81.5,0.399,8.0,23.5,0.34,19.0,28.5,0.667,12.5,31.5,44.0,18.5,21.5,7.0,5.5,6.5,31.0,23.0,92.0,-17.5,10,Houston Rockets
8,42015,1610612754,Indiana Pacers,2,1,1,0.5,48.0,31.5,74.5,0.423,7.5,20.5,0.366,23.0,29.5,0.78,7.5,28.0,35.5,16.0,13.0,9.0,5.5,5.0,24.0,26.0,93.5,-0.5,10,Indiana Pacers
9,42015,1610612746,Los Angeles Clippers,1,1,0,1.0,48.0,42.0,78.0,0.538,6.0,17.0,0.353,25.0,39.0,0.641,11.0,37.0,48.0,23.0,10.0,7.0,7.0,2.0,23.0,28.0,115.0,20.0,10,Los Angeles Clippers
10,42015,1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,31.0,79.0,0.392,8.0,18.0,0.444,4.0,6.0,0.667,10.0,25.0,35.0,17.0,17.0,7.0,5.0,9.0,16.0,11.0,74.0,-32.0,10,Memphis Grizzlies
11,42015,1610612748,Miami Heat,1,1,0,1.0,48.0,49.0,85.0,0.576,9.0,18.0,0.5,16.0,21.0,0.762,14.0,28.0,42.0,27.0,6.0,7.0,4.0,2.0,24.0,17.0,123.0,32.0,10,Miami Heat
12,42015,1610612760,Oklahoma City Thunder,2,1,1,0.5,48.0,33.5,86.0,0.39,9.5,33.5,0.284,19.5,23.0,0.848,16.5,38.5,55.0,17.0,16.5,8.0,5.0,2.0,22.0,21.0,96.0,18.5,10,Oklahoma City Thunder
13,42015,1610612757,Portland Trail Blazers,1,0,1,0.0,48.0,33.0,83.0,0.398,10.0,30.0,0.333,19.0,26.0,0.731,10.0,30.0,40.0,23.0,12.0,6.0,2.0,7.0,28.0,23.0,95.0,-20.0,10,Portland Trail Blazers
14,42015,1610612759,San Antonio Spurs,1,1,0,1.0,48.0,42.0,81.0,0.519,10.0,22.0,0.455,12.0,13.0,0.923,9.0,35.0,44.0,22.0,13.0,13.0,9.0,5.0,11.0,16.0,106.0,32.0,10,San Antonio Spurs
15,42015,1610612761,Toronto Raptors,2,1,1,0.5,48.0,32.5,79.5,0.409,4.5,18.5,0.243,24.5,31.5,0.778,16.0,32.0,48.0,18.0,16.5,7.0,5.0,5.5,26.0,24.0,94.0,0.5,10,Toronto Raptors
