SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS
41996,1610612760,Seattle SuperSonics,82,57,25,0.695,49.9,36.5,78.2,0.467,6.8,19.3,0.353,21,28,0.752,12.3,27.7,40,23.5,15,11,4.7,5.2,20.7,100.9,7.7
41996,1610612761,Toronto Raptors,82,30,52,0.366,49.9,35.3,80.9,0.437,7.2,19.8,0.363,17.6,24.5,0.72,13.8,27.5,41.3,20.9,16.4,8.8,6.3,5.4,22,95.5,-3.1
41996,1610612762,Utah Jazz,82,64,18,0.78,50.3,38.2,75.8,0.504,4.1,11,0.37,22.7,29.5,0.769,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,22.6,103.1,8.8
41996,1610612763,Vancouver Grizzlies,82,14,68,0.171,49.7,34.4,78.7,0.437,5.4,15.5,0.349,15,21.1,0.709,12.5,26.3,38.8,22.7,15.9,8,5.7,5.6,20,89.2,-10.2
41996,1610612764,Washington Bullets,82,44,38,0.537,50,39.1,81.4,0.48,4,12.2,0.331,17.1,24.1,0.707,12.3,29.5,41.8,23.4,15.7,8.7,4.9,4.1,20.7,99.4,1.6
41997,1610612737,Atlanta Hawks,82,50,32,0.61,48.5,35.2,77.5,0.455,4.1,12.4,0.332,21.3,28.2,0.756,13.5,29.5,43,19.1,14.8,7.9,6,4.5,20.4,95.9,3.5
41997,1610612738,Boston Celtics,82,36,46,0.439,48.1,36.7,84.6,0.434,5.1,15.2,0.332,17.4,24,0.726,14.6,24.9,39.5,22.1,16.2,12,4.5,5,26.8,95.9,-2.6
41997,1610612766,Charlotte Hornets,82,51,31,0.622,48.2,36.2,77.4,0.468,4.2,11,0.383,20,26.7,0.751,12,28.5,40.6,23.7,15.2,8.4,3.8,4.5,21.4,96.6,2
41997,1610612741,Chicago Bulls,82,62,20,0.756,48.4,37.4,82.9,0.451,3.8,11.7,0.323,18.2,24.5,0.743,15.2,29.7,44.9,23.8,14.4,8.5,4.3,4.3,20.6,96.7,7.1
41997,1610612739,Cleveland Cavaliers,82,47,35,0.573,48.4,34.4,75.7,0.454,3.6,9.8,0.372,20.2,26.7,0.756,11.6,28.4,40.1,23.1,17.3,9.9,5.1,5.5,23.6,92.5,2.7
41997,1610612742,Dallas Mavericks,82,20,62,0.244,48.6,35.1,82.4,0.427,5.1,14.4,0.357,16,21.2,0.753,12.3,27.8,40.1,18.7,14.4,7.9,5.7,4.6,20,91.4,-6.1
41997,1610612743,Denver Nuggets,82,11,71,0.134,48.1,32.6,78.2,0.418,3.5,10.9,0.323,20.2,26.2,0.772,12.7,26.3,39,18.9,16,8.1,4.8,6.5,23.6,89,-11.8
41997,1610612765,Detroit Pistons,82,37,45,0.451,48.7,34.9,77.7,0.449,3.6,11.4,0.312,20.8,27.9,0.745,12.7,28.5,41.2,19.5,14.6,8.3,4.2,4.7,21.9,94.2,1.6
41997,1610612744,Golden State Warriors,82,19,63,0.232,48.4,34.7,83.9,0.413,2.3,8.5,0.272,16.6,23.3,0.71,15.7,30.2,45.9,20.8,16.7,7.6,5.5,5.8,22.7,88.3,-9.1
41997,1610612745,Houston Rockets,82,41,41,0.5,48.4,35.9,79.4,0.452,7,20.4,0.343,19.9,25.9,0.771,12,28.7,40.7,21.9,15.8,8.4,3.6,4.5,20.2,98.8,-0.8
41997,1610612754,Indiana Pacers,82,58,24,0.707,48.4,35.6,75.9,0.469,4.9,12.5,0.39,19.9,26,0.764,10.7,28.6,39.3,23,14.2,7.9,4.5,4.5,22.7,96,6.1
41997,1610612746,Los Angeles Clippers,82,17,65,0.207,48.2,35.7,81.6,0.438,6.4,17.9,0.358,18,25,0.723,12.7,27.8,40.4,18.7,16.1,7.6,5.6,5,22.3,95.9,-7.4
41997,1610612747,Los Angeles Lakers,82,61,21,0.744,48.4,38.4,79.7,0.481,6.1,17.3,0.351,22.7,33.4,0.679,13.2,30.1,43.3,24.5,15.3,9,6.8,5.2,22.7,105.5,7.7
41997,1610612748,Miami Heat,82,55,27,0.671,48.2,34.8,77.2,0.45,6.7,18.8,0.355,18.8,25.4,0.739,12.5,29.5,42,21.4,15,8.1,5.2,4.5,24.2,95,4.9
41997,1610612749,Milwaukee Bucks,82,36,46,0.439,48.6,35.6,78,0.456,3,8.6,0.354,20.3,26.4,0.767,12.6,27.3,39.9,20.1,16.9,8.9,4.4,4.9,23.4,94.5,-1.9
41997,1610612750,Minnesota Timberwolves,82,45,37,0.549,48.7,38.5,83.5,0.461,3.7,10.6,0.347,20.4,27.5,0.743,13,29.6,42.6,25.2,13.9,7.8,5.2,5,22.9,101.1,0.7
41997,1610612751,New Jersey Nets,82,43,39,0.524,48.5,37.3,84.5,0.441,3.8,11.4,0.331,21.3,28.7,0.744,16.4,26.1,42.5,20.5,14.4,9.5,3.8,6.3,23.4,99.6,1.6
41997,1610612752,New York Knicks,82,43,39,0.524,48.4,34.9,78.1,0.447,4.7,13.9,0.335,17.1,22.1,0.772,11.9,29.7,41.6,21.8,15.2,7.7,3.4,3.8,23.7,91.5,2.5
41997,1610612753,Orlando Magic,82,41,41,0.5,48.4,33.8,78.7,0.429,3.6,11.1,0.323,18.9,26.1,0.726,14.4,26.9,41.2,20.7,15.3,7.9,5.4,4.7,19.7,90.1,-1.1
41997,1610612755,Philadelphia 76ers,82,31,51,0.378,48.2,34.6,78.1,0.443,3,9.9,0.3,21.1,28.7,0.737,13.7,28,41.7,21.1,16.5,8.9,6,6.2,22.9,93.3,-2.4
41997,1610612756,Phoenix Suns,82,56,26,0.683,48.7,38.3,81.8,0.468,5.3,14.8,0.356,17.8,23.8,0.749,12.1,29.9,42,25.9,15.1,9.2,5.2,3.9,21.5,99.6,5.2
41997,1610612757,Portland Trail Blazers,82,46,36,0.561,48.4,35.2,78,0.451,4,12.8,0.309,20,27.1,0.737,13.2,30.8,44,21.5,16.9,7.1,5.7,5.4,22.7,94.3,1.4
41997,1610612758,Sacramento Kings,82,27,55,0.329,48.1,36.1,81.5,0.442,3.5,9.8,0.351,17.6,25.6,0.687,13.3,28.1,41.4,22.4,15.5,7.3,5.1,5.7,22.1,93.1,-5.6
41997,1610612759,San Antonio Spurs,82,56,26,0.683,48.4,35.3,75.5,0.468,3.7,10.5,0.35,18.2,26.4,0.688,12,32.2,44.2,22.4,16.1,6.3,6.9,4.6,21.1,92.5,4
41997,1610612760,Seattle SuperSonics,82,61,21,0.744,48.2,37.2,78.7,0.472,7.6,19.1,0.395,18.5,25.7,0.721,11.4,27.1,38.5,24.2,14,9.8,4.6,4.9,22,100.5,7.2
41997,1610612761,Toronto Raptors,82,16,66,0.195,48.6,36.1,83.1,0.435,4.5,13.2,0.342,18,25.1,0.718,14.5,26.2,40.7,21.3,16.7,9.4,8.1,6.3,22.6,94.9,-9.3
41997,1610612762,Utah Jazz,82,62,20,0.756,48.2,36.5,74.5,0.49,3,8.2,0.372,24.9,32.2,0.773,11.7,29.3,41.1,25.2,15.4,7.9,5,5.2,23.9,101,6.5
