ATL,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2005
21,Chris Johnson,25,4,0,32,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,1,4,5,1,0,3,2,3,6,BOS,2011
,Team Totals,,82,,19780,3023,6219,.486,408,1119,.365,2615,5100,.513,.519,1459,1895,.770,639,2542,3181,1921,676,344,1195,1678,7913,BOS,2011
BOS,2012
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BOS,2012
1,Paul Pierce,34,61,61,2075,394,890,.443,100,273,.366,294,617,.476,.499,293,344,.852,37,280,317,274,70,26,173,147,1181,BOS,2012
2,Rajon Rondo,25,53,53,1957,256,572,.448,10,42,.238,246,530,.464,.456,108,181,.597,62,195,257,620,95,3,193,99,630,BOS,2012
3,Brandon Bass,26,59,39,1868,303,632,.479,0,0,,303,632,.479,.479,132,163,.810,95,270,365,55,34,54,65,135,738,BOS,2012
4,Kevin Garnett,35,60,60,1864,391,777,.503,3,9,.333,388,768,.505,.505,162,189,.857,66,428,494,175,56,61,107,141,947,BOS,2012
5,Ray Allen,36,46,42,1565,226,493,.458,106,234,.453,120,259,.463,.566,97,106,.915,14,128,142,109,49,8,68,83,655,BOS,2012
6,Avery Bradley,21,64,28,1368,200,402,.498,22,54,.407,178,348,.511,.525,62,78,.795,34,81,115,87,43,12,75,109,484,BOS,2012
7,Mickael Pietrus,29,42,6,921,104,270,.385,61,182,.335,43,88,.489,.498,20,31,.645,18,112,130,25,21,10,33,81,289,BOS,2012
8,Greg Stiemsma,26,55,3,766,66,121,.545,0,0,,66,121,.545,.545,29,41,.707,48,129,177,28,37,85,33,144,161,BOS,2012
9,Keyon Dooling,31,46,2,662,66,163,.405,27,81,.333,39,82,.476,.488,23,31,.742,3,36,39,51,13,2,34,57,182,BOS,2012
10,Jermaine O'Neal,33,25,24,570,52,120,.433,0,0,,52,120,.433,.433,21,31,.677,37,98,135,10,8,43,21,80,125,BOS,2012
11,Sasha Pavlovic,28,45,7,527,50,128,.391,17,58,.293,33,70,.471,.457,3,8,.375,4,68,72,18,20,15,20,54,120,BOS,2012
12,Marquis Daniels,31,38,0,484,52,143,.364,0,10,.000,52,133,.391,.364,17,23,.739,16,50,66,47,21,9,28,36,121,BOS,2012
13,Chris Wilcox,29,28,4,481,64,107,.598,0,0,,64,107,.598,.598,24,39,.615,38,84,122,12,11,9,30,64,152,BOS,2012
14,E'Twaun Moore,22,38,0,331,43,113,.381,17,45,.378,26,68,.382,.456,7,7,1.000,4,29,33,34,11,3,21,33,110,BOS,2012
15,JaJuan Johnson,22,36,0,298,54,121,.446,0,0,,54,121,.446,.446,6,9,.667,20,38,58,6,5,14,14,25,114,BOS,2012
16,Ryan Hollins,27,15,1,160,18,28,.643,0,0,,18,28,.643,.643,6,20,.300,9,17,26,3,1,5,11,23,42,BOS,2012
17,Sean Williams,25,3,0,42,2,6,.333,0,0,,2,6,.333,.333,7,7,1.000,4,8,12,3,3,3,3,4,11,BOS,2012
,Team Totals,,66,,15940,2341,5086,.460,363,988,.367,1978,4098,.483,.496,1017,1308,.778,509,2051,2560,1557,498,362,979,1315,6062,BOS,2012
BOS,2013
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BOS,2013
1,Paul Pierce,35,77,77,2575,476,1092,.436,145,382,.380,331,710,.466,.502,333,423,.787,45,442,487,370,84,30,214,210,1430,BOS,2013
2,Jeff Green,26,81,17,2252,376,806,.467,70,182,.385,306,624,.490,.510,214,265,.808,55,263,318,128,56,68,132,175,1036,BOS,2013
3,Brandon Bass,27,81,69,2239,286,589,.486,0,2,.000,286,587,.487,.486,129,150,.860,129,296,425,84,44,64,80,188,701,BOS,2013
4,Jason Terry,35,79,24,2124,281,648,.434,123,331,.372,158,317,.498,.529,114,131,.870,19,140,159,198,66,11,102,110,799,BOS,2013
5,Kevin Garnett,36,68,68,2022,422,850,.496,2,16,.125,420,834,.504,.498,158,201,.786,75,455,530,159,78,62,110,154,1004,BOS,2013
6,Courtney Lee,27,78,39,1941,246,530,.464,58,156,.372,188,374,.503,.519,62,72,.861,31,159,190,143,89,21,84,139,612,BOS,2013
7,Avery Bradley,22,50,50,1435,192,478,.402,40,126,.317,152,352,.432,.444,37,49,.755,30,81,111,104,64,19,72,129,461,BOS,2013
8,Rajon Rondo,26,38,38,1423,225,465,.484,12,50,.240,213,415,.513,.497,60,93,.645,43,169,212,420,70,9,148,96,522,BOS,2013
9,Jared Sullinger,20,45,5,892,111,225,.493,1,5,.200,110,220,.500,.496,47,63,.746,92,172,264,35,22,22,29,154,270,BOS,2013
10,Chris Wilcox,30,61,7,830,110,153,.719,0,1,.000,110,152,.724,.719,39,58,.672,55,125,180,22,32,28,34,125,259,BOS,2013
11,Jordan Crawford,24,27,2,582,90,217,.415,24,75,.320,66,142,.465,.470,42,53,.792,13,61,74,68,12,2,44,45,246,BOS,2013
12,Leandro Barbosa,30,41,2,513,83,193,.430,18,47,.383,65,146,.445,.477,31,41,.756,8,38,46,58,17,6,21,51,215,BOS,2013
13,Jason Collins,34,32,7,330,8,23,.348,0,0,,8,23,.348,.348,21,30,.700,21,31,52,6,10,6,16,74,37,BOS,2013
14,Terrence Williams,25,24,0,318,48,97,.495,5,15,.333,43,82,.524,.521,9,21,.429,4,40,44,38,11,2,22,13,110,BOS,2013
15,Shavlik Randolph,29,16,0,198,28,48,.583,0,0,,28,48,.583,.583,11,27,.407,28,42,70,4,8,7,10,38,67,BOS,2013
16,D.J. White,26,12,0,86,12,23,.522,0,0,,12,23,.522,.522,5,9,.556,4,9,13,4,1,6,2,5,29,BOS,2013
17,Fab Melo,22,6,0,36,3,6,.500,0,0,,3,6,.500,.500,1,4,.250,0,3,3,0,2,2,1,7,7,BOS,2013
18,Kris Joseph,24,6,0,24,2,11,.182,0,2,.000,2,9,.222,.182,3,4,.750,1,4,5,1,0,0,2,2,7,BOS,2013
19,Jarvis Varnado,24,5,0,18,2,4,.500,0,0,,2,4,.500,.500,2,4,.500,1,2,3,1,1,0,1,1,6,BOS,2013
