,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
12,1610612747.0,Los Angeles Lakers,82.0,34.0,48.0,0.415,48.2,35.3,80.8,0.437,7.9,22.1,0.355,20.3,26.1,0.777,12.5,30.6,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0.0,98.7,-3.0,10.0,Los Angeles Lakers
13,1610612763.0,Memphis Grizzlies,82.0,45.0,37.0,0.549,48.1,34.2,76.5,0.447,6.5,18.1,0.357,18.6,24.7,0.754,10.8,28.1,39.0,20.9,14.6,8.5,5.8,5.8,23.3,0.0,93.4,2.3,10.0,Memphis Grizzlies
14,1610612748.0,Miami Heat,82.0,59.0,23.0,0.72,48.7,37.8,77.7,0.486,5.8,15.4,0.377,20.2,30.1,0.672,10.8,32.2,43.0,21.8,13.7,6.4,5.8,3.2,22.1,0.0,101.5,6.5,10.0,Miami Heat
15,1610612749.0,Milwaukee Bucks,82.0,30.0,52.0,0.366,48.2,36.1,80.2,0.45,4.0,11.3,0.351,21.0,27.2,0.772,12.0,29.3,41.3,21.0,13.8,6.5,3.5,4.5,21.9,0.0,97.2,-3.0,10.0,Milwaukee Bucks
16,1610612750.0,Minnesota Timberwolves,82.0,44.0,38.0,0.537,48.2,37.1,80.8,0.459,4.8,14.0,0.345,17.7,22.2,0.796,11.5,31.5,43.0,23.4,13.2,5.6,5.5,3.9,21.6,0.0,96.8,1.5,10.0,Minnesota Timberwolves
17,1610612751.0,New Jersey Nets,82.0,42.0,40.0,0.512,48.5,33.6,78.3,0.429,5.3,14.7,0.362,19.0,24.9,0.763,10.4,29.1,39.5,21.6,14.2,7.9,3.8,4.9,24.2,0.0,91.4,-1.5,10.0,New Jersey Nets
18,1610612740.0,New Orleans Hornets,82.0,18.0,64.0,0.22,48.6,33.1,79.9,0.415,5.1,16.0,0.315,17.1,22.3,0.766,12.4,27.8,40.2,21.0,14.8,6.7,3.8,5.5,23.0,0.0,88.4,-7.1,10.0,New Orleans Hornets
19,1610612752.0,New York Knicks,82.0,33.0,49.0,0.402,48.5,36.3,80.5,0.451,5.4,15.1,0.356,19.3,25.1,0.767,11.8,29.2,41.0,20.3,14.7,7.7,3.2,4.7,23.7,0.0,97.3,-2.4,10.0,New York Knicks
20,1610612753.0,Orlando Magic,82.0,36.0,46.0,0.439,48.1,37.0,81.5,0.454,3.9,11.2,0.349,21.6,28.5,0.759,12.7,31.0,43.7,19.3,16.1,7.7,5.4,4.3,23.6,0.0,99.5,-2.2,10.0,Orlando Magic
21,1610612755.0,Philadelphia 76ers,82.0,43.0,39.0,0.524,48.4,35.9,82.1,0.437,6.2,17.7,0.348,21.1,26.8,0.789,11.1,30.9,42.0,20.9,15.5,9.2,3.9,4.7,22.9,0.0,99.1,-0.7,10.0,Philadelphia 76ers
