SEASON_ID,TEAM_ID,GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3
41996,1610612737,Players,673,Alan Henderson,30,20,10,0.667,17.2,2.6,5.4,0.475,0.0,0.0,0.0,1.5,2.5,0.6,1.6,2.3,3.9,0.8,1.0,0.7,0.2,0.5,2.3,0.0,6.6,-2.7,2,0
41996,1610612737,Players,292,Anthony Miller,1,0,1,0.0,14.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-14.0,0,0
41996,1610612737,Players,363,Christian Laettner,82,56,26,0.683,39.3,6.7,13.8,0.486,0.4,1.1,0.352,4.4,5.4,0.816,2.6,6.2,8.8,2.7,2.7,1.2,0.8,0.8,3.1,0.0,18.1,7.1,31,0
41996,1610612737,Players,241,Darrin Hancock,14,11,3,0.786,6.5,0.9,1.9,0.481,0.0,0.0,0.0,0.6,0.9,0.667,0.2,0.7,0.9,0.5,0.5,0.5,0.1,0.2,0.4,0.0,2.4,-0.1,0,0
41996,1610612737,Players,308,Derrick Alston,2,1,1,0.5,5.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0,0
41996,1610612737,Players,87,Dikembe Mutombo,80,54,26,0.675,38.2,4.8,9.0,0.526,0.0,0.0,0.0,3.8,5.4,0.705,3.4,8.3,11.6,1.4,2.3,0.6,3.3,0.7,2.9,0.0,13.3,5.4,43,0
41996,1610612737,Players,671,Donnie Boyce,22,17,5,0.773,7.3,1.0,2.9,0.333,0.1,0.7,0.125,0.5,1.0,0.5,0.3,0.4,0.7,0.6,0.7,0.5,0.2,0.4,0.7,0.0,2.5,-1.3,0,0
41996,1610612737,Players,695,Eldridge Recasner,71,48,23,0.676,17.5,2.1,4.9,0.423,0.8,2.0,0.414,0.7,0.8,0.879,0.5,1.1,1.6,1.3,0.9,0.5,0.1,0.3,1.3,0.0,5.7,-0.5,0,0
41996,1610612737,Players,1080,Henry James,53,39,14,0.736,18.3,2.4,5.8,0.41,1.4,3.4,0.422,0.6,0.7,0.833,0.5,1.0,1.5,0.4,0.5,0.2,0.0,0.2,1.8,0.0,6.7,0.5,0,0
41996,1610612737,Players,1096,Ivano Newbill,72,49,23,0.681,12.2,0.6,1.3,0.44,0.0,0.0,0.0,0.3,0.7,0.385,1.1,1.8,2.8,0.3,0.6,0.4,0.2,0.2,1.5,0.0,1.4,0.1,0,0
41996,1610612737,Players,468,Jon Barry,58,38,20,0.655,17.3,1.7,4.2,0.407,0.8,2.1,0.387,0.6,0.8,0.804,0.4,1.3,1.7,2.0,1.0,0.9,0.1,0.2,0.9,0.0,4.9,1.8,0,0
41996,1610612737,Players,80,Ken Norman,17,11,6,0.647,13.4,1.6,5.5,0.287,0.4,2.2,0.158,0.2,0.7,0.333,0.5,1.8,2.3,0.7,1.1,0.4,0.2,0.2,1.0,0.0,3.8,-1.9,0,0
41996,1610612737,Players,302,Mookie Blaylock,78,53,25,0.679,40.2,6.4,14.9,0.432,2.8,7.7,0.366,1.7,2.2,0.753,1.5,3.8,5.3,5.9,2.4,2.7,0.3,0.3,1.8,0.0,17.4,7.5,14,0
41996,1610612737,Players,968,Priest Lauderdale,35,26,9,0.743,5.4,1.4,2.5,0.551,0.0,0.0,0.0,0.4,0.7,0.565,0.5,0.8,1.2,0.3,1.1,0.0,0.3,0.1,1.1,0.0,3.2,-0.4,0,0
41996,1610612737,Players,120,Steven Smith,72,50,22,0.694,40.2,6.8,15.9,0.429,1.8,5.4,0.335,4.6,5.5,0.847,1.3,2.1,3.3,4.2,2.4,0.9,0.3,0.6,2.3,0.0,20.1,4.8,2,0
41996,1610612737,Players,895,Tyrone Corbin,70,49,21,0.7,33.9,3.6,8.6,0.422,1.1,3.0,0.356,1.2,1.5,0.796,1.1,3.1,4.2,1.8,1.2,1.3,0.1,0.5,2.3,0.0,9.5,6.0,1,0
41996,1610612737,Players,416,Willie Burton,24,15,9,0.625,16.7,1.6,4.8,0.336,0.5,1.9,0.283,2.4,2.8,0.838,0.5,1.3,1.7,0.5,1.1,0.3,0.1,0.5,2.2,0.0,6.2,-2.3,0,0
41996,1610612738,Players,175,Alton Lister,53,8,45,0.151,10.1,0.6,1.5,0.416,0.0,0.0,0.0,0.4,0.6,0.742,1.2,1.9,3.2,0.2,0.6,0.2,0.3,0.1,1.5,0.0,1.6,-2.2,0,0
41996,1610612738,Players,952,Antoine Walker,82,15,67,0.183,37.4,7.0,16.5,0.426,0.6,1.9,0.327,2.8,4.5,0.631,3.5,5.5,9.0,3.2,2.8,1.3,0.6,1.5,3.1,0.0,17.5,-6.8,33,2
41996,1610612738,Players,1136,Brett Szabo,70,11,59,0.157,9.8,0.8,1.7,0.446,0.0,0.0,0.0,0.6,0.9,0.738,0.8,1.6,2.4,0.2,0.6,0.2,0.5,0.2,1.6,0.0,2.2,-2.4,1,0
41996,1610612738,Players,344,Dana Barros,24,6,18,0.25,30.2,4.6,10.5,0.435,1.8,4.4,0.41,1.5,1.8,0.86,0.2,1.8,2.0,3.4,1.6,1.1,0.3,0.5,1.3,0.0,12.5,-4.0,0,0
41996,1610612738,Players,133,David Wesley,74,13,61,0.176,41.7,6.2,13.2,0.468,1.4,3.9,0.36,3.0,3.9,0.781,0.9,2.7,3.6,7.3,2.9,2.2,0.2,0.8,2.8,0.0,16.8,-5.5,15,0
41996,1610612738,Players,244,Dee Brown,21,4,17,0.19,25.5,2.9,7.9,0.367,1.0,3.1,0.308,0.9,1.0,0.818,0.4,1.9,2.3,3.2,1.1,1.5,0.3,0.3,2.1,0.0,7.6,-3.1,0,0
41996,1610612738,Players,129,Dino Radja,25,6,19,0.24,36.1,6.0,13.6,0.44,0.0,0.0,0.0,2.0,2.8,0.718,1.8,6.7,8.4,1.9,2.8,0.9,1.9,1.1,2.8,0.1,14.0,-2.8,7,0
41996,1610612738,Players,677,Eric Williams,72,13,59,0.181,34.8,5.2,11.4,0.456,0.0,0.1,0.25,4.6,6.1,0.752,1.7,2.8,4.6,1.8,1.9,1.0,0.2,1.2,2.7,0.0,15.0,-5.3,3,0
41996,1610612738,Players,783,Frank Brickowski,17,5,12,0.294,15.5,1.9,4.3,0.438,0.4,1.2,0.35,0.6,0.8,0.714,0.4,1.6,2.0,0.9,1.1,0.3,0.2,0.2,2.4,0.0,4.8,-7.0,0,0
41996,1610612738,Players,65,Greg Minor,23,6,17,0.261,24.8,4.1,8.5,0.48,0.0,0.3,0.125,1.3,1.6,0.861,1.3,2.2,3.5,1.5,1.0,0.7,0.1,0.7,1.8,0.0,9.6,-0.7,0,0
41996,1610612738,Players,55,Marty Conlon,74,13,61,0.176,22.5,2.9,6.1,0.471,0.0,0.1,0.2,1.9,2.3,0.842,1.7,2.6,4.4,1.4,1.5,0.6,0.2,0.6,2.0,0.0,7.8,-3.2,5,0
41996,1610612738,Players,1138,Michael Hawkins,29,3,26,0.103,11.7,1.0,2.3,0.426,0.3,1.1,0.323,0.4,0.5,0.8,0.3,0.8,1.1,2.2,1.0,0.6,0.0,0.1,1.3,0.0,2.8,-1.8,0,0
41996,1610612738,Players,1041,Nate Driggers,15,3,12,0.2,9.2,0.9,2.9,0.302,0.0,0.6,0.0,0.7,0.9,0.714,0.8,0.7,1.5,0.4,0.4,0.2,0.1,0.4,0.7,0.0,2.4,-4.5,0,0
41996,1610612738,Players,442,Pervis Ellison,6,1,5,0.167,21.1,1.0,2.7,0.375,0.0,0.0,0.0,0.5,0.8,0.6,1.5,2.8,4.3,0.7,1.2,0.8,1.5,0.3,3.2,0.0,2.5,1.3,0,0
41996,1610612738,Players,296,Rick Fox,76,14,62,0.184,35.9,5.7,12.5,0.456,1.3,3.7,0.363,2.7,3.5,0.787,1.5,3.7,5.2,3.8,2.3,2.2,0.5,1.1,3.4,0.0,15.4,-4.6,4,0
41996,1610612738,Players,351,Stacey King,5,1,4,0.2,7.0,1.0,1.4,0.714,0.0,0.0,0.0,0.4,0.6,0.667,0.2,1.6,1.8,0.2,0.2,0.0,0.2,0.2,0.6,0.0,2.4,-2.4,0,0
41996,1610612738,Players,984,Steve Hamer,35,4,31,0.114,8.0,0.9,1.6,0.526,0.0,0.1,0.0,0.5,0.8,0.552,0.5,1.2,1.7,0.2,0.4,0.1,0.1,0.2,1.0,0.0,2.2,0.0,0,0
41996,1610612738,Players,103,Todd Day,81,14,67,0.173,29.2,4.9,12.3,0.398,1.6,4.3,0.362,3.2,4.1,0.773,1.3,2.7,4.1,1.4,1.6,1.3,0.6,0.8,2.5,0.0,14.5,-3.6,1,0
41996,1610612766,Players,175,Alton Lister,53,8,45,0.151,10.1,0.6,1.5,0.416,0.0,0.0,0.0,0.4,0.6,0.742,1.2,1.9,3.2,0.2,0.6,0.2,0.3,0.1,1.5,0.0,1.6,-2.2,0,0
41996,1610612766,Players,952,Antoine Walker,82,15,67,0.183,37.4,7.0,16.5,0.426,0.6,1.9,0.327,2.8,4.5,0.631,3.5,5.5,9.0,3.2,2.8,1.3,0.6,1.5,3.1,0.0,17.5,-6.8,33,2
41996,1610612766,Players,1136,Brett Szabo,70,11,59,0.157,9.8,0.8,1.7,0.446,0.0,0.0,0.0,0.6,0.9,0.738,0.8,1.6,2.4,0.2,0.6,0.2,0.5,0.2,1.6,0.0,2.2,-2.4,1,0
41996,1610612766,Players,344,Dana Barros,24,6,18,0.25,30.2,4.6,10.5,0.435,1.8,4.4,0.41,1.5,1.8,0.86,0.2,1.8,2.0,3.4,1.6,1.1,0.3,0.5,1.3,0.0,12.5,-4.0,0,0
41996,1610612766,Players,133,David Wesley,74,13,61,0.176,41.7,6.2,13.2,0.468,1.4,3.9,0.36,3.0,3.9,0.781,0.9,2.7,3.6,7.3,2.9,2.2,0.2,0.8,2.8,0.0,16.8,-5.5,15,0
41996,1610612766,Players,244,Dee Brown,21,4,17,0.19,25.5,2.9,7.9,0.367,1.0,3.1,0.308,0.9,1.0,0.818,0.4,1.9,2.3,3.2,1.1,1.5,0.3,0.3,2.1,0.0,7.6,-3.1,0,0
41996,1610612766,Players,129,Dino Radja,25,6,19,0.24,36.1,6.0,13.6,0.44,0.0,0.0,0.0,2.0,2.8,0.718,1.8,6.7,8.4,1.9,2.8,0.9,1.9,1.1,2.8,0.1,14.0,-2.8,7,0
41996,1610612766,Players,677,Eric Williams,72,13,59,0.181,34.8,5.2,11.4,0.456,0.0,0.1,0.25,4.6,6.1,0.752,1.7,2.8,4.6,1.8,1.9,1.0,0.2,1.2,2.7,0.0,15.0,-5.3,3,0
41996,1610612766,Players,783,Frank Brickowski,17,5,12,0.294,15.5,1.9,4.3,0.438,0.4,1.2,0.35,0.6,0.8,0.714,0.4,1.6,2.0,0.9,1.1,0.3,0.2,0.2,2.4,0.0,4.8,-7.0,0,0
41996,1610612766,Players,65,Greg Minor,23,6,17,0.261,24.8,4.1,8.5,0.48,0.0,0.3,0.125,1.3,1.6,0.861,1.3,2.2,3.5,1.5,1.0,0.7,0.1,0.7,1.8,0.0,9.6,-0.7,0,0
41996,1610612766,Players,55,Marty Conlon,74,13,61,0.176,22.5,2.9,6.1,0.471,0.0,0.1,0.2,1.9,2.3,0.842,1.7,2.6,4.4,1.4,1.5,0.6,0.2,0.6,2.0,0.0,7.8,-3.2,5,0
41996,1610612766,Players,1138,Michael Hawkins,29,3,26,0.103,11.7,1.0,2.3,0.426,0.3,1.1,0.323,0.4,0.5,0.8,0.3,0.8,1.1,2.2,1.0,0.6,0.0,0.1,1.3,0.0,2.8,-1.8,0,0
41996,1610612766,Players,1041,Nate Driggers,15,3,12,0.2,9.2,0.9,2.9,0.302,0.0,0.6,0.0,0.7,0.9,0.714,0.8,0.7,1.5,0.4,0.4,0.2,0.1,0.4,0.7,0.0,2.4,-4.5,0,0
41996,1610612766,Players,442,Pervis Ellison,6,1,5,0.167,21.1,1.0,2.7,0.375,0.0,0.0,0.0,0.5,0.8,0.6,1.5,2.8,4.3,0.7,1.2,0.8,1.5,0.3,3.2,0.0,2.5,1.3,0,0
41996,1610612766,Players,296,Rick Fox,76,14,62,0.184,35.9,5.7,12.5,0.456,1.3,3.7,0.363,2.7,3.5,0.787,1.5,3.7,5.2,3.8,2.3,2.2,0.5,1.1,3.4,0.0,15.4,-4.6,4,0
41996,1610612766,Players,351,Stacey King,5,1,4,0.2,7.0,1.0,1.4,0.714,0.0,0.0,0.0,0.4,0.6,0.667,0.2,1.6,1.8,0.2,0.2,0.0,0.2,0.2,0.6,0.0,2.4,-2.4,0,0
41996,1610612766,Players,984,Steve Hamer,35,4,31,0.114,8.0,0.9,1.6,0.526,0.0,0.1,0.0,0.5,0.8,0.552,0.5,1.2,1.7,0.2,0.4,0.1,0.1,0.2,1.0,0.0,2.2,0.0,0,0
41996,1610612766,Players,103,Todd Day,81,14,67,0.173,29.2,4.9,12.3,0.398,1.6,4.3,0.362,3.2,4.1,0.773,1.3,2.7,4.1,1.4,1.6,1.3,0.6,0.8,2.5,0.0,14.5,-3.6,1,0
41996,1610612741,Players,82,Bill Wennington,61,53,8,0.869,13.2,1.9,3.9,0.498,0.0,0.0,0.0,0.7,0.9,0.83,0.8,1.4,2.1,0.7,0.5,0.2,0.2,0.1,2.0,0.0,4.6,1.7,1,0
41996,1610612741,Players,183,Bison Dele,9,6,3,0.667,16.1,2.9,7.0,0.413,0.0,0.0,0.0,1.2,1.7,0.733,1.6,2.1,3.7,1.3,1.2,0.3,0.6,0.7,2.2,0.0,7.0,-0.3,0,0
41996,1610612741,Players,23,Dennis Rodman,55,48,7,0.873,36.4,2.3,5.2,0.448,0.1,0.3,0.263,0.9,1.6,0.568,5.8,10.2,16.1,3.1,2.0,0.6,0.3,0.1,3.0,0.2,5.7,10.4,11,0
41996,1610612741,Players,54,Dickey Simpkins,48,41,7,0.854,8.5,0.6,1.9,0.333,0.0,0.1,0.25,0.6,0.8,0.7,0.8,1.2,1.9,0.6,0.7,0.1,0.1,0.4,0.9,0.0,1.9,-0.1,0,0
41996,1610612741,Players,679,Jason Caffey,75,62,13,0.827,19.4,2.7,5.1,0.532,0.0,0.0,0.0,1.9,2.8,0.659,1.8,2.2,4.0,1.2,1.3,0.3,0.1,0.5,1.7,0.0,7.3,2.7,3,0
41996,1610612741,Players,146,Jud Buechler,76,65,11,0.855,9.6,0.8,2.1,0.367,0.2,0.7,0.333,0.1,0.2,0.357,0.6,1.1,1.7,0.8,0.4,0.3,0.3,0.1,0.6,0.0,1.8,0.9,0,0
41996,1610612741,Players,26,Luc Longley,59,49,10,0.831,25.5,3.7,8.2,0.456,0.0,0.0,0.0,1.6,2.0,0.792,2.1,3.6,5.6,2.4,1.9,0.4,1.1,0.8,2.7,0.0,9.1,5.0,2,0
41996,1610612741,Players,1099,Matt Steigenga,2,1,1,0.5,5.9,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.0,1.5,1.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,1.5,-2.0,0,0
41996,1610612741,Players,893,Michael Jordan,82,69,13,0.841,39.1,11.2,23.1,0.486,1.4,3.6,0.374,5.9,7.0,0.833,1.4,4.5,5.9,4.3,2.0,1.7,0.5,0.6,1.9,0.0,29.6,10.0,9,1
41996,1610612741,Players,753,Randy Brown,72,61,11,0.847,15.3,1.9,4.6,0.42,0.1,0.3,0.182,0.8,1.2,0.679,0.5,1.1,1.5,1.8,0.8,1.1,0.2,0.2,1.5,0.0,4.7,2.5,0,0
41996,1610612741,Players,305,Robert Parish,43,36,7,0.837,9.7,1.6,3.3,0.49,0.0,0.0,0.0,0.5,0.7,0.677,1.0,1.1,2.1,0.5,0.7,0.1,0.4,0.2,0.8,0.0,3.7,2.4,0,0
41996,1610612741,Players,166,Ron Harper,76,64,12,0.842,23.4,2.3,5.3,0.436,0.9,2.5,0.362,0.8,1.1,0.707,0.6,1.9,2.5,2.5,0.7,1.1,0.5,0.1,1.7,0.0,6.3,5.6,0,0
41996,1610612741,Players,937,Scottie Pippen,82,69,13,0.841,38.9,7.9,16.7,0.474,1.9,5.2,0.368,2.5,3.5,0.701,2.0,4.5,6.5,5.7,2.6,1.9,0.5,0.6,2.5,0.0,20.2,9.8,14,0
