SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,TEAM_PER,FTHELP
42013,1610612755,Philadelphia 76ers,82,19,63,0.232,48.4,37.9,87.2,0.435,7,22.5,0.312,16.6,23.4,0.71,11.6,31.2,42.7,21.8,16.9,9.3,4,6.8,22.5,20.6,99.5,-10.5,10,Philadelphia 76ers,13.27110738,36
42013,1610612756,Phoenix Suns,82,48,34,0.585,48.2,38.7,83.5,0.463,9.3,25.1,0.372,18.5,24.4,0.758,11.3,31.7,43,19.1,15.3,8.4,4.6,4,21.9,21.3,105.2,2.6,10,Phoenix Suns,16.74794055,25
42013,1610612757,Portland Trail Blazers,82,54,28,0.659,48.4,39.1,87,0.45,9.4,25.3,0.372,19.1,23.5,0.815,12.5,34,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,106.7,4,10,Portland Trail Blazers,16.02338974,37
42013,1610612758,Sacramento Kings,82,28,54,0.341,48.4,36.9,82.5,0.447,6,18,0.333,20.7,27.3,0.759,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,100.5,-2.9,10,Sacramento Kings,13.84607937,37
42013,1610612759,San Antonio Spurs,82,62,20,0.756,48.2,40.6,83.5,0.486,8.5,21.4,0.397,15.7,20,0.785,9.3,34,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,105.4,7.7,10,San Antonio Spurs,16.12100314,29
42013,1610612760,Oklahoma City Thunder,82,59,23,0.72,48.3,39,82.7,0.471,8.1,22.4,0.361,20.2,25,0.806,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,106.2,6.3,10,Oklahoma City Thunder,15.93679645,7
42013,1610612761,Toronto Raptors,82,48,34,0.585,48.7,36.5,81.9,0.445,8.7,23.4,0.372,19.6,25.1,0.782,11.4,31.1,42.5,21.2,14.1,7,4.2,4.3,23,22.1,101.3,3.2,10,Toronto Raptors,14.37352073,20
42013,1610612762,Utah Jazz,82,25,57,0.305,48.2,36,81.1,0.444,6.6,19.2,0.344,16.4,22,0.747,11,30.2,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4,95,-7.2,10,Utah Jazz,14.46886431,44
42013,1610612763,Memphis Grizzlies,82,50,32,0.61,48.3,38.1,82,0.464,4.9,14,0.353,15.1,20.3,0.741,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5,19.1,18.9,96.1,1.6,10,Memphis Grizzlies,14.8849285,35
42013,1610612764,Washington Wizards,82,44,38,0.537,48.9,38.7,84.4,0.459,7.9,20.8,0.38,15.3,20.9,0.731,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,100.7,1.3,10,Washington Wizards,14.95334014,33
