,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
7,42013,1610612754,Indiana Pacers,19,10,9,0.526,912.0,101.6,102.1,-0.5,0.559,1.38,16.0,0.211,0.77,0.497,0.151,0.5,0.54,90.44,0.505,10,Indiana Pacers
8,42013,1610612746,Los Angeles Clippers,13,6,7,0.462,624.0,109.7,108.6,1.1,0.605,1.89,17.7,0.262,0.704,0.475,0.127,0.515,0.555,98.75,0.505,10,Los Angeles Clippers
9,42013,1610612763,Memphis Grizzlies,7,3,4,0.429,356.0,98.9,105.7,-6.8,0.591,1.95,16.4,0.27,0.69,0.47,0.114,0.442,0.486,91.77,0.475,10,Memphis Grizzlies
10,42013,1610612748,Miami Heat,20,13,7,0.65,960.0,110.5,108.7,1.8,0.516,1.5,16.3,0.171,0.753,0.472,0.138,0.555,0.594,87.96,0.509,10,Miami Heat
11,42013,1610612760,Oklahoma City Thunder,19,10,9,0.526,937.0,105.6,105.5,0.2,0.527,1.28,15.1,0.271,0.742,0.519,0.156,0.496,0.551,94.98,0.499,10,Oklahoma City Thunder
12,42013,1610612757,Portland Trail Blazers,11,5,6,0.455,543.0,103.6,110.9,-7.3,0.457,1.27,13.5,0.261,0.706,0.486,0.137,0.482,0.529,97.39,0.464,10,Portland Trail Blazers
13,42013,1610612759,San Antonio Spurs,23,16,7,0.696,1109.0,112.7,101.1,11.6,0.559,1.77,17.6,0.236,0.772,0.511,0.133,0.546,0.583,94.78,0.572,10,San Antonio Spurs
14,42013,1610612761,Toronto Raptors,7,3,4,0.429,336.0,104.5,108.3,-3.8,0.541,1.16,14.8,0.268,0.77,0.529,0.166,0.486,0.553,91.14,0.484,10,Toronto Raptors
15,42013,1610612764,Washington Wizards,11,6,5,0.545,533.0,99.5,98.2,1.3,0.567,1.52,16.0,0.279,0.797,0.537,0.141,0.468,0.504,90.1,0.515,10,Washington Wizards
0,42014,1610612737,Atlanta Hawks,16,8,8,0.5,778.0,101.0,101.0,0.0,0.646,1.88,18.2,0.216,0.747,0.481,0.131,0.484,0.521,95.85,0.514,10,Atlanta Hawks
1,42014,1610612738,Boston Celtics,4,0,4,0.0,192.0,97.2,110.2,-13.0,0.576,1.48,15.7,0.222,0.719,0.464,0.139,0.453,0.504,95.92,0.427,10,Boston Celtics
2,42014,1610612751,Brooklyn Nets,6,2,4,0.333,293.0,99.1,103.6,-4.5,0.599,1.51,16.9,0.21,0.778,0.494,0.148,0.486,0.522,96.04,0.458,10,Brooklyn Nets
3,42014,1610612741,Chicago Bulls,12,6,6,0.5,586.0,100.5,98.1,2.4,0.632,1.58,17.1,0.268,0.743,0.51,0.147,0.474,0.515,93.35,0.526,10,Chicago Bulls
4,42014,1610612739,Cleveland Cavaliers,20,14,6,0.7,975.0,104.0,100.3,3.6,0.519,1.39,14.3,0.281,0.775,0.532,0.136,0.479,0.524,93.51,0.519,10,Cleveland Cavaliers
