ATL,2005
2,Joe Johnson,SG,6-7,240,June 29 1981,8,University of Arkansas,ATL,2010
33,Randolph Morris,PF,6-10,266,January 2 1986,3,University of Kentucky,ATL,2010
27,Zaza Pachulia,C,6-11,270,February 10 1984,6,,ATL,2010
32,Joe Smith,PF,6-10,225,July 26 1975,14,University of Maryland,ATL,2010
5,Josh Smith,PF,6-9,225,December 5 1985,5,,ATL,2010
0,Jeff Teague,PG,6-2,186,June 10 1988,R,Wake Forest University,ATL,2010
6,Mario West,SG,6-5,210,June 19 1984,2,Georgia Institute of Technology,ATL,2010
24,Marvin Williams,SF,6-9,237,June 19 1986,4,University of North Carolina,ATL,2010
ATL,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2011
31,Hilton Armstrong,C,6-11,235,November 11 1984,4,University of Connecticut,ATL,2011
10,Mike Bibby,PG,6-1,190,May 13 1978,12,University of Arizona,ATL,2011
34,Jason Collins,C,7-0,255,December 2 1978,9,Stanford University,ATL,2011
11,Jamal Crawford,SG,6-5,195,March 20 1980,10,University of Michigan,ATL,2011
55,Jordan Crawford,SG,6-4,195,October 23 1988,R,Xavier University,ATL,2011
1,Maurice Evans,SF,6-5,220,November 8 1978,7,University of Texas at Austin,ATL,2011
6,Kirk Hinrich,PG,6-4,190,January 2 1981,7,University of Kansas,ATL,2011
15,Al Horford,C,6-10,245,June 3 1986,3,University of Florida,ATL,2011
2,Joe Johnson,SG,6-7,240,June 29 1981,9,University of Arkansas,ATL,2011
27,Zaza Pachulia,C,6-11,270,February 10 1984,7,,ATL,2011
12,Josh Powell,PF,6-9,225,January 25 1983,5,North Carolina State University,ATL,2011
5,Josh Smith,PF,6-9,225,December 5 1985,6,,ATL,2011
19,Pape Sy,SF,6-7,225,April 5 1988,R,,ATL,2011
0,Jeff Teague,PG,6-2,186,June 10 1988,1,Wake Forest University,ATL,2011
36,Etan Thomas,C,6-9,256,April 1 1978,8,Syracuse University,ATL,2011
3,Damien Wilkins,SF,6-6,225,January 11 1980,6,University of Georgia,ATL,2011
24,Marvin Williams,SF,6-9,237,June 19 1986,5,University of North Carolina,ATL,2011
ATL,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2012
34,Jason Collins,C,7-0,255,December 2 1978,10,Stanford University,ATL,2012
25,Erick Dampier,C,6-11,265,July 14 1975,15,Mississippi State University,ATL,2012
33,Willie Green,SG,6-4,200,July 28 1981,8,University of Detroit Mercy,ATL,2012
6,Kirk Hinrich,SG,6-4,190,January 2 1981,8,University of Kansas,ATL,2012
15,Al Horford,C,6-10,245,June 3 1986,4,University of Florida,ATL,2012
44,Ivan Johnson,PF,6-8,230,April 10 1984,R,University of Oregon,ATL,2012
2,Joe Johnson,SG,6-7,240,June 29 1981,10,University of Arkansas,ATL,2012
1,Tracy McGrady,SF,6-8,210,May 24 1979,14,,ATL,2012
27,Zaza Pachulia,C,6-11,270,February 10 1984,8,,ATL,2012
7,Jannero Pargo,PG,6-1,175,October 22 1979,7,University of Arkansas,ATL,2012
77,Vladimir Radmanovic,SF,6-10,227,November 19 1980,10,,ATL,2012
12,Donald Sloan,PG,6-3,205,January 15 1988,R,Texas A&amp;M University,ATL,2012
5,Josh Smith,PF,6-9,225,December 5 1985,7,,ATL,2012
42,Jerry Stackhouse,SF,6-6,218,November 5 1974,16,University of North Carolina,ATL,2012
0,Jeff Teague,PG,6-2,186,June 10 1988,2,Wake Forest University,ATL,2012
24,Marvin Williams,SF,6-9,237,June 19 1986,6,University of North Carolina,ATL,2012
ATL,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2013
34,Devin Harris,SG,6-3,192,February 27 1983,8,University of Wisconsin,ATL,2013
15,Al Horford,C,6-10,245,June 3 1986,5,University of Florida,ATL,2013
12,John Jenkins,SG,6-4,215,March 6 1991,R,Vanderbilt University,ATL,2013
44,Ivan Johnson,PF,6-8,230,April 10 1984,1,University of Oregon,ATL,2013
30,Dahntay Jones,SF,6-6,225,December 27 1980,9,Duke University,ATL,2013
26,Kyle Korver,SF,6-7,212,March 17 1981,9,Creighton University,ATL,2013
8,Shelvin Mack,PG,6-3,203,April 22 1990,1,Butler University,ATL,2013
22,Anthony Morrow,SG,6-5,210,September 27 1985,4,Georgia Institute of Technology,ATL,2013
27,Zaza Pachulia,C,6-11,270,February 10 1984,9,,ATL,2013
7,Jannero Pargo,PG,6-1,175,October 22 1979,8,University of Arkansas,ATL,2013
10,Johan Petro,C,7-0,247,January 27 1986,7,,ATL,2013
32,Mike Scott,PF,6-8,237,July 16 1988,R,University of Virginia,ATL,2013
5,Josh Smith,PF,6-9,225,December 5 1985,8,,ATL,2013
92,DeShawn Stevenson,SG,6-5,210,April 3 1981,12,,ATL,2013
0,Jeff Teague,PG,6-2,186,June 10 1988,3,Wake Forest University,ATL,2013
4,Anthony Tolliver,SF,6-8,240,June 1 1985,4,Creighton University,ATL,2013
1,Jeremy Tyler,C,6-10,260,June 21 1991,1,,ATL,2013
3,Lou Williams,SG,6-1,175,October 27 1986,7,,ATL,2013
ATL,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2014
6,Pero Antic,PF,6-11,260,July 29 1982,R,,ATL,2014
14,Gustavo Ayon,C,6-10,250,April 1 1985,2,,ATL,2014
42,Elton Brand,PF,6-8,275,March 11 1979,14,Duke University,ATL,2014
5,DeMarre Carroll,SF,6-8,212,July 27 1986,4,University of Missouri,ATL,2014
7,Jared Cunningham,SG,6-4,195,May 22 1991,1,Oregon State University,ATL,2014
15,Al Horford,C,6-10,245,June 3 1986,6,University of Florida,ATL,2014
12,John Jenkins,SG,6-4,215,March 6 1991,1,Vanderbilt University,ATL,2014
26,Kyle Korver,SG,6-7,212,March 17 1981,10,Creighton University,ATL,2014
8,Shelvin Mack,PG,6-3,203,April 22 1990,2,Butler University,ATL,2014
20,Cartier Martin,SF,6-7,220,November 20 1984,5,Kansas State University,ATL,2014
4,Paul Millsap,PF,6-8,246,February 10 1985,7,Louisiana Tech University,ATL,2014
31,Mike Muscala,PF,6-11,240,July 1 1991,R,Bucknell University,ATL,2014
2,James Nunnally,SF,6-7,205,July 14 1990,R,University of California Santa Barbara,ATL,2014
45,Dexter Pittman,C,6-11,308,March 2 1988,3,University of Texas at Austin,ATL,2014
17,Dennis Schroder,PG,6-1,172,September 15 1993,R,,ATL,2014
32,Mike Scott,PF,6-8,237,July 16 1988,1,University of Virginia,ATL,2014
0,Jeff Teague,PG,6-2,186,June 10 1988,4,Wake Forest University,ATL,2014
3,Lou Williams,PG,6-1,175,October 27 1986,8,,ATL,2014
ATL,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2015
6,Pero Antic,PF,6-11,260,July 29 1982,1,,ATL,2015
24,Kent Bazemore,SG,6-5,201,July 1 1989,2,Old Dominion University,ATL,2015
7,Elton Brand,PF,6-8,275,March 11 1979,15,Duke University,ATL,2015
5,DeMarre Carroll,SF,6-8,212,July 27 1986,5,University of Missouri,ATL,2015
3,Austin Daye,SF,6-11,220,June 5 1988,5,Gonzaga University,ATL,2015
15,Al Horford,C,6-10,245,June 3 1986,7,University of Florida,ATL,2015
12,John Jenkins,SG,6-4,215,March 6 1991,2,Vanderbilt University,ATL,2015
26,Kyle Korver,SG,6-7,212,March 17 1981,11,Creighton University,ATL,2015
8,Shelvin Mack,PG,6-3,203,April 22 1990,3,Butler University,ATL,2015
4,Paul Millsap,PF,6-8,246,February 10 1985,8,Louisiana Tech University,ATL,2015
31,Mike Muscala,PF,6-11,240,July 1 1991,1,Bucknell University,ATL,2015
33,Adreian Payne,PF,6-10,237,February 19 1991,R,Michigan State University,ATL,2015
17,Dennis Schroder,PG,6-1,172,September 15 1993,1,,ATL,2015
32,Mike Scott,PF,6-8,237,July 16 1988,2,University of Virginia,ATL,2015
25,Thabo Sefolosha,SF,6-7,220,May 2 1984,8,,ATL,2015
0,Jeff Teague,PG,6-2,186,June 10 1988,5,Wake Forest University,ATL,2015
BOS,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2005
42,Tony Allen,SG,6-4,213,January 11 1982,R,Oklahoma State University,BOS,2005
11,Marcus Banks,PG,6-2,200,November 19 1981,1,University of Nevada Las Vegas,BOS,2005
30,Mark Blount,C,7-0,230,November 30 1975,4,University of Pittsburgh,BOS,2005
12,Ricky Davis,SG,6-6,195,September 23 1979,6,University of Iowa,BOS,2005
7,Tom Gugliotta,PF,6-10,240,December 19 1969,12,North Carolina State University,BOS,2005
7-8,Al Jefferson,PF,6-10,289,January 4 1985,R,,BOS,2005
45,Raef LaFrentz,PF,6-11,240,May 29 1976,6,University of Kansas,BOS,2005
0,Walter McCarty,PF,6-10,230,February 1 1974,8,University of Kentucky,BOS,2005
20,Gary Payton,PG,6-4,180,July 23 1968,14,Oregon State University,BOS,2005
43,Kendrick Perkins,C,6-10,270,November 10 1984,1,,BOS,2005
34,Paul Pierce,SF,6-7,235,October 13 1977,6,University of Kansas,BOS,2005
9,Justin Reed,SF,6-8,240,January 16 1982,R,University of Mississippi,BOS,2005
88,Antoine Walker,PF,6-8,224,August 12 1976,8,University of Kentucky,BOS,2005
44,Jiri Welsch,SG,6-7,208,January 27 1980,2,,BOS,2005
13,Delonte West,SG,6-4,180,July 26 1983,R,Saint Joseph's University,BOS,2005
BOS,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2006
42,Tony Allen,PG,6-4,213,January 11 1982,1,Oklahoma State University,BOS,2006
11,Marcus Banks,PG,6-2,200,November 19 1981,2,University of Nevada Las Vegas,BOS,2006
30,Mark Blount,C,7-0,230,November 30 1975,5,University of Pittsburgh,BOS,2006
12,Ricky Davis,SG,6-6,195,September 23 1979,7,University of Iowa,BOS,2006
20,Dan Dickau,PG,6-0,190,September 16 1978,3,Gonzaga University,BOS,2006
4,Ryan Gomes,PF,6-7,250,September 1 1982,R,Providence College,BOS,2006
5,Gerald Green,SG,6-7,205,January 26 1986,R,,BOS,2006
0,Orien Greene,PG,6-4,208,February 4 1982,R,University of Louisiana at Lafayette,BOS,2006
7,Al Jefferson,PF,6-10,289,January 4 1985,1,,BOS,2006
27,Dwayne Jones,PF,6-11,250,June 9 1983,R,Saint Joseph's University,BOS,2006
45,Raef LaFrentz,PF,6-11,240,May 29 1976,7,University of Kansas,BOS,2006
41,Michael Olowokandi,C,7-0,269,April 3 1975,7,University of the Pacific,BOS,2006
43,Kendrick Perkins,C,6-10,270,November 10 1984,2,,BOS,2006
34,Paul Pierce,SF,6-7,235,October 13 1977,7,University of Kansas,BOS,2006
9,Justin Reed,SF,6-8,240,January 16 1982,1,University of Mississippi,BOS,2006
44,Brian Scalabrine,PF,6-9,241,March 18 1978,4,University of Southern California,BOS,2006
55,Wally Szczerbiak,SF,6-7,244,March 5 1977,6,Miami University,BOS,2006
13,Delonte West,PG,6-4,180,July 26 1983,1,Saint Joseph's University,BOS,2006
BOS,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2007
42,Tony Allen,SG,6-4,213,January 11 1982,2,Oklahoma State University,BOS,2007
4,Ryan Gomes,PF,6-7,250,September 1 1982,1,Providence College,BOS,2007
5,Gerald Green,SF,6-7,205,January 26 1986,1,,BOS,2007
7,Al Jefferson,C,6-10,289,January 4 1985,2,,BOS,2007
41,Michael Olowokandi,C,7-0,269,April 3 1975,8,University of the Pacific,BOS,2007
43,Kendrick Perkins,C,6-10,270,November 10 1984,3,,BOS,2007
34,Paul Pierce,SG,6-7,235,October 13 1977,8,University of Kansas,BOS,2007
51,Kevinn Pinkney,PF,6-10,245,October 20 1983,R,University of Nevada Reno,BOS,2007
0,Leon Powe,C,6-8,240,January 22 1984,R,University of California,BOS,2007
50,Theo Ratliff,C,6-10,225,April 17 1973,11,University of Wyoming,BOS,2007
12,Allan Ray,SG,6-2,190,June 17 1984,R,Villanova University,BOS,2007
9,Rajon Rondo,PG,6-1,186,February 22 1986,R,University of Kentucky,BOS,2007
44,Brian Scalabrine,PF,6-9,241,March 18 1978,5,University of Southern California,BOS,2007
55,Wally Szczerbiak,SF,6-7,244,March 5 1977,7,Miami University,BOS,2007
30,Sebastian Telfair,PG,6-0,165,June 9 1985,2,,BOS,2007
13,Delonte West,SG,6-4,180,July 26 1983,2,Saint Joseph's University,BOS,2007
BOS,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2008
20,Ray Allen,SG,6-5,205,July 20 1975,11,University of Connecticut,BOS,2008
42,Tony Allen,SG,6-4,213,January 11 1982,3,Oklahoma State University,BOS,2008
93,P.J. Brown,PF,6-11,225,October 14 1969,14,Louisiana Tech University,BOS,2008
28,Sam Cassell,PG,6-3,185,November 18 1969,14,Florida State University,BOS,2008
11,Glen Davis,C,6-9,289,January 1 1986,R,Louisiana State University,BOS,2008
5,Kevin Garnett,PF,6-11,240,May 19 1976,12,,BOS,2008
50,Eddie House,PG,6-1,180,May 14 1978,7,Arizona State University,BOS,2008
43,Kendrick Perkins,C,6-10,270,November 10 1984,4,,BOS,2008
34,Paul Pierce,SF,6-7,235,October 13 1977,9,University of Kansas,BOS,2008
66,Scot Pollard,C,6-11,265,February 12 1975,10,University of Kansas,BOS,2008
41,James Posey,PF,6-8,215,January 13 1977,8,Xavier University,BOS,2008
0,Leon Powe,C,6-8,240,January 22 1984,1,University of California,BOS,2008
13,Gabe Pruitt,PG,6-4,170,April 19 1986,R,University of Southern California,BOS,2008
9,Rajon Rondo,PG,6-1,186,February 22 1986,1,University of Kentucky,BOS,2008
44,Brian Scalabrine,PF,6-9,241,March 18 1978,6,University of Southern California,BOS,2008
BOS,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2009
20,Ray Allen,SG,6-5,205,July 20 1975,12,University of Connecticut,BOS,2009
42,Tony Allen,SG,6-4,213,January 11 1982,4,Oklahoma State University,BOS,2009
11,Glen Davis,C,6-9,289,January 1 1986,1,Louisiana State University,BOS,2009
5,Kevin Garnett,PF,6-11,240,May 19 1976,13,,BOS,2009
4,J.R. Giddens,SF,6-5,215,February 13 1985,R,University of New Mexico,BOS,2009
50,Eddie House,PG,6-1,180,May 14 1978,8,Arizona State University,BOS,2009
8,Stephon Marbury,PG,6-2,180,February 20 1977,12,Georgia Institute of Technology,BOS,2009
7,Mikki Moore,C,6-11,225,November 4 1975,10,University of Nebraska,BOS,2009
26,Patrick O'Bryant,C,7-0,260,June 20 1986,2,Bradley University,BOS,2009
43,Kendrick Perkins,C,6-10,270,November 10 1984,5,,BOS,2009
34,Paul Pierce,SF,6-7,235,October 13 1977,10,University of Kansas,BOS,2009
0,Leon Powe,PF,6-8,240,January 22 1984,2,University of California,BOS,2009
13,Gabe Pruitt,SG,6-4,170,April 19 1986,1,University of Southern California,BOS,2009
9,Rajon Rondo,PG,6-1,186,February 22 1986,2,University of Kentucky,BOS,2009
44,Brian Scalabrine,C,6-9,241,March 18 1978,7,University of Southern California,BOS,2009
12,Henry Walker,SF,6-6,220,October 9 1987,R,Kansas State University,BOS,2009
BOS,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2010
20,Ray Allen,SG,6-5,205,July 20 1975,13,University of Connecticut,BOS,2010
42,Tony Allen,SG,6-4,213,January 11 1982,5,Oklahoma State University,BOS,2010
7,Marquis Daniels,SF,6-6,200,January 7 1981,6,Auburn University,BOS,2010
11,Glen Davis,PF,6-9,289,January 1 1986,2,Louisiana State University,BOS,2010
40,Michael Finley,SF,6-7,215,March 6 1973,14,University of Wisconsin,BOS,2010
5,Kevin Garnett,PF,6-11,240,May 19 1976,14,,BOS,2010
4,J.R. Giddens,SF,6-5,215,February 13 1985,1,University of New Mexico,BOS,2010
50,Eddie House,PG,6-1,180,May 14 1978,9,Arizona State University,BOS,2010
26,Lester Hudson,PG,6-3,190,August 7 1984,R,University of Tennessee at Martin,BOS,2010
40,Oliver Lafayette,SG,6-2,190,May 6 1984,R,University of Houston,BOS,2010
12,Marcus Landry,SF,6-7,230,November 1 1985,R,University of Wisconsin,BOS,2010
43,Kendrick Perkins,C,6-10,270,November 10 1984,6,,BOS,2010
34,Paul Pierce,SF,6-7,235,October 13 1977,11,University of Kansas,BOS,2010
4,Nate Robinson,PG,5-9,180,May 31 1984,4,University of Washington,BOS,2010
9,Rajon Rondo,PG,6-1,186,February 22 1986,3,University of Kentucky,BOS,2010
44,Brian Scalabrine,PF,6-9,241,March 18 1978,8,University of Southern California,BOS,2010
12,Henry Walker,SF,6-6,220,October 9 1987,1,Kansas State University,BOS,2010
30,Rasheed Wallace,C,6-10,225,September 17 1974,14,University of North Carolina,BOS,2010
13,Shelden Williams,PF,6-9,250,October 21 1983,3,Duke University,BOS,2010
BOS,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2011
20,Ray Allen,SG,6-5,205,July 20 1975,14,University of Connecticut,BOS,2011
45,Carlos Arroyo,PG,6-2,202,July 30 1979,8,Florida International University,BOS,2011
0,Avery Bradley,PG,6-2,180,November 26 1990,R,University of Texas at Austin,BOS,2011
8,Marquis Daniels,SF,6-6,200,January 7 1981,7,Auburn University,BOS,2011
11,Glen Davis,C,6-9,289,January 1 1986,3,Louisiana State University,BOS,2011
86,Semih Erden,C,7-0,240,July 28 1986,R,,BOS,2011
5,Kevin Garnett,PF,6-11,240,May 19 1976,15,,BOS,2011
8,Jeff Green,SF,6-9,235,August 28 1986,3,Georgetown University,BOS,2011
55,Luke Harangody,PF,6-8,246,January 2 1988,R,University of Notre Dame,BOS,2011
86,Chris Johnson,C,6-11,210,July 15 1985,R,Louisiana State University,BOS,2011
4,Nenad Krstic,C,7-0,240,July 25 1983,6,,BOS,2011
30,Troy Murphy,PF,6-11,245,May 2 1980,9,University of Notre Dame,BOS,2011
7,Jermaine O'Neal,C,6-11,226,October 13 1978,14,,BOS,2011
36,Shaquille O'Neal,C,7-1,325,March 6 1972,18,Louisiana State University,BOS,2011
77,Sasha Pavlovic,SG,6-8,220,November 15 1983,7,,BOS,2011
43,Kendrick Perkins,C,6-10,270,November 10 1984,7,,BOS,2011
34,Paul Pierce,SF,6-7,235,October 13 1977,12,University of Kansas,BOS,2011
4,Nate Robinson,PG,5-9,180,May 31 1984,5,University of Washington,BOS,2011
9,Rajon Rondo,PG,6-1,186,February 22 1986,4,University of Kentucky,BOS,2011
12,Von Wafer,SG,6-5,210,July 21 1985,4,Florida State University,BOS,2011
13,Delonte West,PG,6-4,180,July 26 1983,6,Saint Joseph's University,BOS,2011
BOS,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,BOS,2012
20,Ray Allen,SG,6-5,205,July 20 1975,15,University of Connecticut,BOS,2012
30,Brandon Bass,PF,6-8,250,April 30 1985,6,Louisiana State University,BOS,2012
0,Avery Bradley,PG,6-2,180,November 26 1990,1,University of Texas at Austin,BOS,2012
4,Marquis Daniels,SG,6-6,200,January 7 1981,8,Auburn University,BOS,2012
51,Keyon Dooling,SG,6-3,196,May 8 1980,11,University of Missouri,BOS,2012
5,Kevin Garnett,C,6-11,240,May 19 1976,16,,BOS,2012
50,Ryan Hollins,C,7-0,240,October 10 1984,5,University of California Los Angeles,BOS,2012
12,JaJuan Johnson,PF,6-10,221,February 8 1989,R,Purdue University,BOS,2012
55,E'Twaun Moore,PG,6-4,191,February 28 1989,R,Purdue University,BOS,2012
7,Jermaine O'Neal,C,6-11,226,October 13 1978,15,,BOS,2012
11,Sasha Pavlovic,SF,6-8,220,November 15 1983,8,,BOS,2012
34,Paul Pierce,SF,6-7,235,October 13 1977,13,University of Kansas,BOS,2012
28,Mickael Pietrus,SG,6-6,215,February 7 1982,8,,BOS,2012
