SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
41997,1610612766,Charlotte Hornets,82,51,31,0.622,3956,104.7,102.7,2,0.654,1.56,18.5,0.304,0.708,0.508,0.165,0.495,0.542,91.75,0.526,10,Charlotte Hornets
41997,1610612741,Chicago Bulls,82,62,20,0.756,3971,104.1,96.7,7.3,0.637,1.66,18,0.357,0.706,0.531,0.155,0.473,0.516,91.96,0.56,10,Chicago Bulls
41997,1610612739,Cleveland Cavaliers,82,47,35,0.573,3966,99.3,96,3.3,0.672,1.33,18.1,0.3,0.711,0.508,0.186,0.478,0.529,92.61,0.528,10,Cleveland Cavaliers
41997,1610612742,Dallas Mavericks,82,20,62,0.244,3984,97.4,104.4,-7,0.533,1.3,15,0.276,0.651,0.46,0.154,0.458,0.498,92.47,0.446,10,Dallas Mavericks
41997,1610612743,Denver Nuggets,82,11,71,0.134,3946,95.7,109.1,-13.4,0.578,1.18,15.1,0.302,0.663,0.478,0.172,0.44,0.496,92.49,0.407,10,Denver Nuggets
41997,1610612765,Detroit Pistons,82,37,45,0.451,3995,102.5,100.4,2.1,0.558,1.33,15.7,0.309,0.702,0.504,0.159,0.472,0.523,90.7,0.505,10,Detroit Pistons
41997,1610612744,Golden State Warriors,82,19,63,0.232,3966,92.7,102.8,-10.1,0.6,1.25,15.8,0.337,0.686,0.506,0.175,0.427,0.468,94.24,0.423,10,Golden State Warriors
41997,1610612745,Houston Rockets,82,41,41,0.5,3969,104.4,105.6,-1.2,0.611,1.39,17.1,0.298,0.693,0.498,0.167,0.496,0.544,93.65,0.49,10,Houston Rockets
41997,1610612754,Indiana Pacers,82,58,24,0.707,3966,105.6,98.4,7.2,0.647,1.62,18.5,0.279,0.678,0.489,0.157,0.502,0.55,90.5,0.553,10,Indiana Pacers
41997,1610612746,Los Angeles Clippers,82,17,65,0.207,3956,99.9,108.3,-8.4,0.523,1.16,14.7,0.296,0.661,0.477,0.168,0.477,0.518,95.2,0.437,10,Los Angeles Clippers
41997,1610612747,Los Angeles Lakers,82,61,21,0.744,3966,109.2,100.7,8.5,0.639,1.6,18.3,0.316,0.688,0.506,0.159,0.519,0.559,96.11,0.558,10,Los Angeles Lakers
41997,1610612748,Miami Heat,82,55,27,0.671,3951,104.6,98.7,5.9,0.617,1.43,17.2,0.315,0.696,0.512,0.165,0.494,0.538,90.62,0.535,10,Miami Heat
41997,1610612749,Milwaukee Bucks,82,36,46,0.439,3986,100.6,102.4,-1.8,0.565,1.19,15.9,0.314,0.691,0.501,0.18,0.475,0.527,92.84,0.483,10,Milwaukee Bucks
41997,1610612750,Minnesota Timberwolves,82,45,37,0.549,3990,104.8,103.6,1.2,0.655,1.82,18.7,0.306,0.685,0.498,0.144,0.483,0.529,95.4,0.515,10,Minnesota Timberwolves
41997,1610612751,New Jersey Nets,82,43,39,0.524,3976,104.8,103.3,1.4,0.552,1.43,15.6,0.367,0.664,0.506,0.151,0.463,0.513,94.05,0.497,10,New Jersey Nets
41997,1610612752,New York Knicks,82,43,39,0.524,3966,100.4,97.1,3.3,0.624,1.43,17.4,0.295,0.74,0.516,0.167,0.476,0.521,90.79,0.517,10,New York Knicks
41997,1610612753,Orlando Magic,82,41,41,0.5,3970,98.8,100.9,-2.1,0.611,1.35,16.4,0.342,0.669,0.502,0.168,0.452,0.499,89.99,0.489,10,Orlando Magic
