SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
42010,1610612754,Indiana Pacers,82,37,45,0.451,48.2,36.6,82.8,0.442,7.1,20.2,0.354,19.4,24.8,0.782,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,99.8,-1.1,101.9,103.4,-1.5,0.536,1.28,15.3,0.259,0.741,0.502,0.157,0.486,0.533,97.24,0.492
42010,1610612746,Los Angeles Clippers,82,32,50,0.39,48.4,36.8,80.4,0.457,6.3,18.5,0.338,18.9,26.7,0.707,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,98.6,-3.1,101.8,106.3,-4.5,0.601,1.35,16.9,0.284,0.732,0.51,0.169,0.496,0.535,95.47,0.483
42010,1610612747,Los Angeles Lakers,82,57,25,0.695,48.4,38.1,82.4,0.463,6.4,18.1,0.352,18.8,24.1,0.779,12.1,31.9,44.0,22.0,13.1,7.3,5.1,4.5,19.0,101.5,6.1,107.9,101.3,6.6,0.576,1.68,17.1,0.292,0.723,0.515,0.139,0.502,0.545,93.37,0.541
42010,1610612763,Memphis Grizzlies,82,46,36,0.561,48.5,39.0,82.9,0.471,3.8,11.3,0.334,18.1,24.2,0.75,11.8,29.2,41.0,20.6,14.0,9.4,5.4,6.2,20.8,99.9,2.3,104.4,102.5,1.9,0.528,1.48,16.1,0.289,0.725,0.505,0.146,0.493,0.534,94.5,0.518
42010,1610612748,Miami Heat,82,58,24,0.707,48.2,37.0,76.8,0.481,6.7,18.0,0.37,21.5,27.9,0.769,9.6,32.5,42.1,20.0,13.9,6.6,5.2,3.0,20.4,102.1,7.5,109.3,100.7,8.5,0.541,1.44,16.2,0.252,0.755,0.518,0.149,0.524,0.573,93.2,0.556
42010,1610612749,Milwaukee Bucks,82,35,47,0.427,48.4,34.3,79.8,0.43,5.9,17.2,0.342,17.4,22.9,0.757,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,91.9,-0.8,99.0,99.9,-1.0,0.549,1.4,15.4,0.247,0.748,0.491,0.145,0.467,0.511,92.1,0.488
42010,1610612750,Minnesota Timberwolves,82,17,65,0.207,48.2,37.7,85.5,0.441,7.2,19.1,0.376,18.5,24.1,0.768,13.2,31.2,44.4,20.1,17.0,7.2,5.1,5.5,22.3,101.1,-6.6,101.1,108.3,-7.2,0.534,1.18,15.1,0.296,0.737,0.511,0.171,0.483,0.526,99.18,0.443
42010,1610612751,New Jersey Nets,82,24,58,0.293,48.8,35.6,81.0,0.44,5.6,16.3,0.343,17.4,22.9,0.759,11.1,29.8,40.8,21.0,14.0,5.6,4.7,4.6,22.0,94.2,-6.2,100.2,107.0,-6.9,0.59,1.5,16.7,0.261,0.742,0.494,0.149,0.474,0.517,92.39,0.452
42010,1610612740,New Orleans Hornets,82,46,36,0.561,48.4,35.9,78.2,0.459,5.4,15.0,0.36,17.7,23.1,0.765,10.0,30.1,40.1,20.6,13.0,7.6,4.4,4.8,21.0,94.9,0.9,103.8,102.5,1.4,0.574,1.58,16.9,0.251,0.762,0.505,0.143,0.493,0.537,90.89,0.507
42010,1610612752,New York Knicks,82,42,40,0.512,48.2,38.3,83.7,0.457,9.3,25.4,0.368,20.6,25.5,0.809,10.3,30.1,40.5,21.4,13.7,7.6,5.8,4.4,21.3,106.5,0.8,108.3,106.9,1.4,0.56,1.56,16.5,0.242,0.719,0.479,0.139,0.513,0.561,98.1,0.504
42010,1610612760,Oklahoma City Thunder,82,55,27,0.671,48.8,37.4,80.6,0.464,5.9,17.1,0.347,24.1,29.3,0.823,11.0,31.8,42.8,20.4,14.1,8.0,5.9,4.3,22.4,104.8,3.8,108.6,104.0,4.5,0.545,1.45,15.9,0.274,0.736,0.513,0.146,0.501,0.561,95.27,0.529
42010,1610612753,Orlando Magic,82,52,30,0.634,48.4,36.0,78.2,0.461,9.4,25.6,0.366,17.7,25.6,0.692,10.5,32.7,43.2,20.0,14.9,6.7,4.7,3.8,20.0,99.2,5.5,105.7,99.1,6.6,0.553,1.34,16.0,0.261,0.769,0.521,0.159,0.521,0.554,93.49,0.534
42010,1610612755,Philadelphia 76ers,82,41,41,0.5,48.6,38.1,82.6,0.461,5.4,15.2,0.355,17.4,22.6,0.77,10.4,31.4,41.8,22.7,13.0,7.6,4.3,4.6,19.4,99.0,1.5,104.0,102.5,1.5,0.596,1.75,17.7,0.246,0.745,0.496,0.136,0.494,0.535,93.95,0.51
42010,1610612756,Phoenix Suns,82,40,42,0.488,48.8,39.3,83.5,0.47,8.5,22.6,0.377,18.0,23.6,0.759,10.0,30.2,40.2,23.7,14.3,6.6,4.4,4.3,20.3,105.0,-0.9,107.0,107.4,-0.4,0.604,1.66,18.0,0.237,0.716,0.476,0.145,0.522,0.559,96.76,0.494
42010,1610612757,Portland Trail Blazers,82,48,34,0.585,48.3,36.0,80.5,0.447,6.3,18.3,0.345,18.0,22.4,0.804,12.1,27.2,39.3,21.2,13.0,8.0,4.4,4.1,19.3,96.3,1.5,105.6,104.2,1.4,0.588,1.62,17.0,0.295,0.72,0.498,0.143,0.486,0.533,90.52,0.516
42010,1610612758,Sacramento Kings,82,24,58,0.293,48.4,38.2,85.1,0.449,5.2,15.6,0.335,17.7,24.2,0.734,13.1,30.8,43.9,20.4,16.1,7.4,4.8,5.7,22.0,99.4,-5.3,100.6,106.3,-5.7,0.534,1.27,15.4,0.299,0.744,0.516,0.163,0.48,0.519,97.81,0.462
42010,1610612759,San Antonio Spurs,82,61,21,0.744,48.2,38.4,80.8,0.475,8.4,21.1,0.397,18.5,24.2,0.767,10.1,31.7,41.9,22.4,13.4,7.3,4.5,4.6,19.0,103.7,5.7,109.4,102.8,6.6,0.583,1.67,17.6,0.249,0.746,0.504,0.142,0.527,0.567,94.59,0.538
42010,1610612761,Toronto Raptors,82,22,60,0.268,48.2,38.3,82.4,0.465,4.2,13.3,0.316,18.2,24.1,0.755,11.7,28.6,40.3,21.9,14.7,7.1,4.3,5.6,22.0,99.1,-6.3,103.3,110.0,-6.7,0.571,1.49,16.9,0.282,0.72,0.495,0.153,0.491,0.533,95.38,0.459
42010,1610612762,Utah Jazz,82,39,43,0.476,48.5,37.4,80.4,0.465,5.3,15.3,0.346,19.4,25.1,0.771,11.0,28.5,39.5,23.4,14.3,7.7,5.9,5.0,22.7,99.4,-1.8,104.9,107.3,-2.4,0.627,1.63,18.1,0.27,0.717,0.491,0.151,0.498,0.544,93.64,0.5
42010,1610612764,Washington Wizards,82,23,59,0.28,48.6,37.2,84.0,0.443,4.8,14.4,0.332,18.2,24.4,0.745,12.4,29.0,41.3,19.4,15.3,8.1,6.1,5.0,22.6,97.3,-7.4,99.6,107.2,-7.6,0.522,1.27,15.0,0.28,0.705,0.485,0.157,0.471,0.513,96.47,0.445
42011,1610612737,Atlanta Hawks,66,40,26,0.606,49.0,36.8,81.0,0.454,7.5,20.2,0.37,15.5,21.0,0.74,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,96.6,3.4,102.4,98.6,3.8,0.61,1.61,17.7,0.239,0.744,0.493,0.148,0.5,0.535,92.51,0.526
42011,1610612738,Boston Celtics,66,39,27,0.591,48.3,35.5,77.1,0.46,5.5,15.0,0.367,15.4,19.8,0.778,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,91.8,2.5,98.9,95.5,3.4,0.665,1.59,19.0,0.197,0.724,0.473,0.16,0.496,0.535,92.65,0.535
42011,1610612766,Charlotte Bobcats,66,7,59,0.106,48.2,33.2,80.2,0.414,4.0,13.5,0.295,16.5,22.2,0.746,10.3,28.7,39.0,20.1,14.5,6.0,5.5,5.7,18.9,87.0,-13.9,92.3,107.8,-15.5,0.605,1.39,16.1,0.236,0.709,0.464,0.154,0.439,0.483,93.59,0.411
42011,1610612741,Chicago Bulls,66,50,16,0.758,48.3,37.4,82.8,0.452,6.3,16.9,0.375,15.2,21.1,0.722,13.9,32.8,46.7,23.1,14.0,6.9,5.9,5.2,17.3,96.3,8.2,104.5,95.3,9.3,0.619,1.65,17.9,0.326,0.743,0.539,0.152,0.49,0.523,91.79,0.561
