
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
30,Mark Blount,C,7-0,230,November 30 1975,6,University of Pittsburgh
31,Ricky Davis,SF,6-6,195,September 23 1979,8,University of Iowa
4,Randy Foye,PG,6-4,213,September 24 1983,R,Villanova University
21,Kevin Garnett,PF,6-11,240,May 19 1976,11,
41,Eddie Griffin,PF,6-10,220,May 30 1982,4,Seton Hall University
23,Trenton Hassell,SG,6-5,200,March 4 1979,5,Austin Peay State University
16,Troy Hudson,PG,6-1,170,March 13 1976,9,Southern Illinois University
13,Mike James,PG,6-2,188,June 23 1975,5,Duquesne University
55,Marko Jaric,SG,6-7,198,October 12 1978,4,
35,Mark Madsen,C,6-9,240,January 28 1976,6,Stanford University
1,Rashad McCants,SG,6-4,207,September 25 1984,1,University of North Carolina
9,Justin Reed,PF,6-8,240,January 16 1982,2,University of Mississippi
5,Craig Smith,PF,6-7,250,November 10 1983,R,Boston College
6,Bracey Wright,SG,6-3,210,July 1 1984,1,Indiana University
