
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Omer Asik,C,7-0,255,July 4 1986,3,
2,Patrick Beverley,PG,6-1,185,July 12 1988,1,University of Arkansas
10,Ronnie Brewer,SF,6-7,220,March 20 1985,7,University of Arkansas
0,Aaron Brooks,PG,6-0,161,January 14 1985,5,University of Oregon
1,Isaiah Canaan,PG,6-0,201,May 21 1991,R,Murray State University
18,Omri Casspi,PF,6-9,225,June 22 1988,4,
33,Robert Covington,SF,6-9,215,December 14 1990,R,Tennessee State University
30,Troy Daniels,SG,6-4,205,July 15 1991,R,Virginia Commonwealth University
32,Francisco Garcia,SF,6-7,195,December 31 1981,8,University of Louisville
5,Jordan Hamilton,SF,6-7,220,October 6 1990,2,University of Texas at Austin
13,James Harden,SG,6-5,220,August 26 1989,4,Arizona State University
12,Dwight Howard,C,6-11,265,December 8 1985,9,
6,Terrence Jones,PF,6-9,252,January 9 1992,1,University of Kentucky
7,Jeremy Lin,PG,6-3,200,August 23 1988,3,Harvard University
20,Donatas Motiejunas,PF,7-0,222,September 20 1990,1,
25,Chandler Parsons,SF,6-9,227,October 25 1988,2,University of Florida
21,Josh Powell,F,6-9,225,January 25 1983,6,North Carolina State University
4,Greg Smith,C,6-10,250,January 8 1991,2,California State University Fresno
