
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Jeff Adrien,PF,6-7,245,February 10 1986,3,University of Connecticut
0,Bismack Biyombo,C,6-9,245,August 28 1992,2,
55,Chris Douglas-Roberts,SF,6-7,200,January 8 1987,4,University of Memphis
8,Ben Gordon,SG,6-3,200,April 4 1983,9,University of Connecticut
41,Justin Hamilton,C,7-0,260,April 1 1990,R,Louisiana State University
9,Gerald Henderson,SG,6-5,215,December 9 1987,4,Duke University
25,Al Jefferson,C,6-10,289,January 4 1985,9,
14,Michael Kidd-Gilchrist,SF,6-7,232,September 26 1993,1,University of Kentucky
11,Josh McRoberts,PF,6-10,240,February 28 1987,6,Duke University
12,Gary Neal,SG,6-4,210,October 3 1984,3,Towson University
5,Jannero Pargo,PG,6-1,175,October 22 1979,9,University of Arkansas
13,Luke Ridnour,PG,6-2,175,February 13 1981,10,University of Oregon
7,Ramon Sessions,PG,6-3,190,April 11 1986,6,University of Nevada Reno
31,James Southerland,SF,6-8,215,April 28 1990,R,Syracuse University
44,Jeffery Taylor,SF,6-7,225,May 23 1989,1,Vanderbilt University
43,Anthony Tolliver,PF,6-8,240,June 1 1985,5,Creighton University
15,Kemba Walker,PG,6-1,172,May 8 1990,2,University of Connecticut
8,D.J. White,PF,6-9,251,August 31 1986,5,Indiana University
40,Cody Zeller,C,7-0,240,October 5 1992,R,Indiana University
