
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,Andris Biedrins,C,6-11,240,April 2 1986,9,
3,Trey Burke,PG,6-1,191,November 12 1992,R,University of Michigan
10,Alec Burks,SG,6-6,214,July 20 1991,2,University of Colorado
21,Ian Clark,SG,6-3,175,March 7 1991,R,Belmont University
40,Jeremy Evans,SF,6-9,196,October 24 1987,3,Western Kentucky University
15,Derrick Favors,PF,6-10,265,July 15 1991,3,Georgia Institute of Technology
8,Diante Garrett,PG,6-4,190,November 3 1988,1,Iowa State University
27,Rudy Gobert,C,7-1,245,June 26 1992,R,
33,Mike Harris,PF,6-6,240,June 15 1983,3,Rice University
20,Gordon Hayward,SF,6-8,226,March 23 1990,3,Butler University
24,Richard Jefferson,SF,6-7,233,June 21 1980,12,University of Arizona
0,Enes Kanter,C,6-11,245,May 20 1992,2,
5,John Lucas III,PG,5-11,165,November 21 1982,5,Oklahoma State University
25,Brandon Rush,SG,6-6,210,July 7 1985,5,University of Kansas
22,Malcolm Thomas,PF,6-9,225,November 8 1988,2,San Diego State University
6,Jamaal Tinsley,PG,6-3,195,February 28 1978,10,Iowa State University
2,Marvin Williams,PF,6-9,237,June 19 1986,8,University of North Carolina
