
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Leandro Barbosa,SG,6-3,194,November 28 1982,2,
12,Andre Barrett,PG,5-10,172,February 21 1982,1,Seton Hall University
19,Raja Bell,SG,6-5,204,September 19 1976,5,Florida International University
11,Pat Burke,C,6-11,250,December 14 1973,1,Auburn University
15,Josh Davis,PF,6-8,235,August 10 1980,2,University of Wyoming
3,Boris Diaw,PF,6-8,250,April 16 1982,2,
23,Sharrod Ford,PF,6-9,225,January 9 1982,R,Clemson University
55,Brian Grant,C,6-9,254,March 5 1972,11,Xavier University
50,Eddie House,PG,6-1,180,May 14 1978,5,Arizona State University
21,Jim Jackson,SF,6-6,220,October 14 1970,13,Ohio State University
22,James Jones,SF,6-8,218,October 4 1980,2,University of Miami
31,Shawn Marion,PF,6-7,220,May 7 1978,6,University of Nevada Las Vegas
13,Steve Nash,PG,6-3,195,February 7 1974,9,Santa Clara University
32,Amar'e Stoudemire,C,6-10,245,November 16 1982,3,
40,Kurt Thomas,C,6-9,230,October 4 1972,10,Texas Christian University
2,Tim Thomas,PF,6-10,230,February 26 1977,8,Villanova University
1,Dijon Thompson,SG,6-7,195,February 23 1983,R,University of California Los Angeles
15,Nikoloz Tskitishvili,SF,7-0,225,April 14 1983,3,
