
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Rafer Alston,PG,6-2,171,July 24 1976,9,California State University Fresno
17,Brent Barry,SG,6-6,185,December 31 1971,13,Oregon State University
31,Shane Battier,SG,6-8,220,September 9 1978,7,Duke University
0,Aaron Brooks,PG,6-0,161,January 14 1985,1,University of Oregon
43,Brian Cook,PF,6-9,234,December 4 1980,5,University of Illinois at Urbana-Champaign
15,Joey Dorsey,PF,6-8,268,December 16 1983,R,University of Memphis
44,Chuck Hayes,C,6-6,240,June 11 1983,3,University of Kentucky
2,Luther Head,PG,6-3,185,November 26 1982,3,University of Illinois at Urbana-Champaign
14,Carl Landry,PF,6-9,248,September 19 1983,1,Purdue University
7,Kyle Lowry,PG,6-0,205,March 25 1986,2,Villanova University
1,Tracy McGrady,SG,6-8,210,May 24 1979,11,
11,Yao Ming,C,7-6,310,September 12 1980,6,
55,Dikembe Mutombo,C,7-2,245,June 25 1966,17,Georgetown University
4,Luis Scola,PF,6-9,240,April 30 1980,1,
13,Von Wafer,SG,6-5,210,July 21 1985,3,Florida State University
8,James White,SF,6-7,200,October 21 1982,1,University of Cincinnati
96,Metta World Peace,SF,6-6,260,November 13 1979,9,St. John's University
