
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,Esteban Batista,PF,6-10,270,September 2 1983,R,
1,Josh Childress,SF,6-8,210,June 20 1983,1,Stanford University
00,Tony Delk,SG,6-1,189,January 28 1974,9,University of Kentucky
54,John Edwards,C,7-0,275,July 31 1981,1,Kent State University
16,Anthony Grundy,SG,6-3,180,April 15 1979,R,North Carolina State University
3,Al Harrington,PF,6-9,230,February 17 1980,7,
36,Royal Ivey,PG,6-3,200,December 20 1981,1,University of Texas at Austin
2,Joe Johnson,SG,6-7,240,June 29 1981,4,University of Arkansas
10,Tyronn Lue,PG,6-0,175,May 3 1977,7,University of Nebraska
27,Zaza Pachulia,C,6-11,270,February 10 1984,2,
15,Donta Smith,SG,6-7,215,November 27 1983,1,Southeastern Illinois College
5,Josh Smith,SF,6-9,225,December 5 1985,1,
20,Salim Stoudamire,SG,6-1,179,October 11 1982,R,University of Arizona
12,John Thomas,C,6-9,265,September 8 1975,4,University of Minnesota
24,Marvin Williams,PF,6-9,237,June 19 1986,R,University of North Carolina
