
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Lavoy Allen,PF,6-9,255,February 4 1989,R,Temple University
4,Tony Battie,C,6-11,230,February 11 1976,13,Texas Tech University
33,Craig Brackins,PF,6-10,230,October 9 1987,1,Iowa State University
42,Elton Brand,C,6-8,275,March 11 1979,12,Duke University
16,Francisco Elson,C,7-0,235,February 28 1976,8,University of California
00,Spencer Hawes,C,7-1,245,April 28 1988,4,University of Washington
11,Jrue Holiday,PG,6-4,205,June 12 1990,2,University of California Los Angeles
9,Andre Iguodala,SF,6-6,207,January 28 1984,7,University of Arizona
20,Jodie Meeks,SG,6-4,208,August 21 1987,2,University of Kentucky
5,Andres Nocioni,SF,6-7,225,November 30 1979,7,
25,Xavier Silas,SG,6-5,205,January 22 1988,R,Northern Illinois University
12,Evan Turner,SF,6-7,220,October 27 1988,1,Ohio State University
8,Nikola Vucevic,C,7-0,260,October 24 1990,R,University of Southern California
23,Lou Williams,PG,6-1,175,October 27 1986,6,
7,Sam Young,SF,6-6,220,June 1 1985,2,University of Pittsburgh
21,Thaddeus Young,PF,6-8,221,June 21 1988,4,Georgia Institute of Technology
