
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
57,Hilton Armstrong,C,6-11,235,November 11 1984,5,University of Connecticut
40,Harrison Barnes,SF,6-8,210,May 30 1992,1,University of North Carolina
20,Kent Bazemore,SG,6-5,201,July 1 1989,1,Old Dominion University
25,Steve Blake,PG,6-3,172,February 26 1980,10,University of Maryland
12,Andrew Bogut,C,7-0,260,November 28 1984,8,University of Utah
2,MarShon Brooks,SG,6-5,200,January 26 1989,2,Providence College
55,Jordan Crawford,SG,6-4,195,October 23 1988,3,Xavier University
30,Stephen Curry,PG,6-3,185,March 14 1988,4,Davidson College
21,Dewayne Dedmon,C,7-0,245,August 12 1989,R,University of Southern California
0,Toney Douglas,PG,6-2,195,March 16 1986,4,Florida State University
23,Draymond Green,SF,6-7,230,March 4 1990,1,Michigan State University
9,Andre Iguodala,SF,6-6,207,January 28 1984,9,University of Arizona
1,Ognjen Kuzmic,C,7-1,251,May 16 1990,R,
10,David Lee,PF,6-9,245,April 29 1983,8,University of Florida
8,Nemanja Nedovic,SG,6-3,192,June 16 1991,R,
7,Jermaine O'Neal,PF,6-11,226,October 13 1978,17,
5,Marreese Speights,C,6-10,255,August 4 1987,5,University of Florida
11,Klay Thompson,SG,6-7,205,February 8 1990,2,Washington State University
