
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
8,Hilton Armstrong,C,6-11,235,November 11 1984,3,University of Connecticut
40,Jon Brockman,PF,6-7,255,March 20 1987,R,University of Washington
18,Omri Casspi,SF,6-9,225,June 22 1988,R,
15,Joey Dorsey,PF,6-8,268,December 16 1983,1,University of Memphis
13,Tyreke Evans,SG,6-6,220,September 19 1989,R,University of Memphis
32,Francisco Garcia,SG,6-7,195,December 31 1981,4,University of Louisville
20,Donte Greene,SF,6-11,226,February 21 1988,1,Syracuse University
31,Spencer Hawes,C,7-1,245,April 28 1988,2,University of Washington
24,Carl Landry,PF,6-9,248,September 19 1983,2,Purdue University
23,Kevin Martin,SG,6-7,199,February 1 1983,5,Western Carolina University
24,Desmond Mason,SF,6-7,224,October 11 1977,9,Oklahoma State University
42,Sean May,C,6-9,266,April 4 1984,3,University of North Carolina
7,Dominic McGuire,SF,6-9,220,October 20 1985,2,California State University Fresno
5,Andres Nocioni,SF,6-7,225,November 30 1979,5,
10,Sergio Rodriguez,PG,6-3,168,June 12 1986,3,
17,Garrett Temple,SG,6-6,195,May 8 1986,R,Louisiana State University
9,Kenny Thomas,PF,6-7,261,July 25 1977,10,University of New Mexico
34,Jason Thompson,C,6-11,250,July 21 1986,1,Rider University
3,Ime Udoka,SG,6-6,215,August 9 1977,5,Portland State University
19,Beno Udrih,PG,6-3,205,July 5 1982,5,
