
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Chauncey Billups,SG,6-3,202,September 25 1976,16,University of Colorado
12,Will Bynum,PG,6-0,185,January 4 1983,6,Georgia Institute of Technology
5,Kentavious Caldwell-Pope,SG,6-5,205,February 18 1993,R,University of Georgia
13,Luigi Datome,SF,6-8,215,November 27 1987,R,
0,Andre Drummond,C,6-11,279,August 10 1993,1,University of Connecticut
55,Josh Harrellson,C,6-10,275,February 12 1989,2,University of Kentucky
7,Brandon Jennings,PG,6-1,169,September 23 1989,4,
33,Jonas Jerebko,PF,6-10,231,March 2 1987,3,
9,Tony Mitchell,PF,6-8,235,April 7 1992,R,University of North Texas
10,Greg Monroe,PF,6-11,265,June 4 1990,3,Georgetown University
25,Kyle Singler,SF,6-8,228,May 4 1988,1,Duke University
34,Peyton Siva,SG,6-0,185,October 24 1990,R,University of Louisville
6,Josh Smith,SF,6-9,225,December 5 1985,9,
3,Rodney Stuckey,SG,6-5,205,April 21 1986,6,Eastern Washington University
31,Charlie Villanueva,PF,6-11,232,August 24 1984,8,University of Connecticut
