
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
22,Matt Barnes,SF,6-7,226,March 9 1980,10,University of California Los Angeles
25,Reggie Bullock,SF,6-7,205,March 16 1991,R,University of North Carolina
2,Darren Collison,PG,6-0,175,August 23 1987,4,University of California Los Angeles
11,Jamal Crawford,SG,6-5,195,March 20 1980,13,University of Michigan
,Glen Davis,PF,6-9,289,January 1 1986,6,Louisiana State University
9,Jared Dudley,SF,6-7,225,July 10 1985,6,Boston College
33,Danny Granger,SF,6-9,222,April 20 1983,8,University of New Mexico
34,Willie Green,SG,6-4,200,July 28 1981,10,University of Detroit Mercy
32,Blake Griffin,PF,6-10,251,March 16 1989,3,University of Oklahoma
15,Ryan Hollins,PF,7-0,240,October 10 1984,7,University of California Los Angeles
1,Stephen Jackson,SF,6-8,218,April 5 1978,13,Butler County Community College
33,Antawn Jamison,PF,6-8,223,June 12 1976,15,University of North Carolina
6,DeAndre Jordan,C,6-11,265,July 21 1988,5,Texas A&amp;M University
7,Darius Morris,PG,6-4,190,January 3 1991,2,University of Michigan
0,Byron Mullens,C,7-0,275,February 14 1989,4,Ohio State University
3,Chris Paul,PG,6-0,175,May 6 1985,8,Wake Forest University
4,J.J. Redick,SG,6-4,190,June 24 1984,7,Duke University
8,Hedo Turkoglu,SF,6-10,220,March 19 1979,13,
18,Sasha Vujacic,SG,6-7,195,March 8 1984,7,
5,Maalik Wayns,PG,6-2,200,May 2 1991,1,Villanova University
