0,JaMychal Green,PF,9-Jun,227,June 21 1990,1,University of Alabama,MEM,2016
0,Russell Westbrook,PG,3-Jun,200,November 12 1988,7,University of California Los Angeles,OKC,2016
0,Damian Lillard,PG,3-Jun,195,July 15 1990,3,Weber State University,POR,2016
0,Isaiah Canaan,PG,Jun-00,201,May 21 1991,2,Murray State University,PHI,2016
0,C.J. Miles,SF,6-Jun,231,April 18 1987,10,,IND,2016
0,Josh Richardson,SG,6-Jun,200,September 15 1993,R,University of Tennessee,MIA,2016
0,Shane Larkin,PG,11-May,175,October 2 1992,2,University of Miami,BRK,2016
0,Andre Drummond,C,11-Jun,279,August 10 1993,3,University of Connecticut,DET,2016
0,Jeff Teague,PG,2-Jun,186,June 10 1988,6,Wake Forest University,ATL,2016
0,Andrew Goudelock,PG,3-Jun,200,December 7 1988,2,College of Charleston,HOU,2016
0,Emmanuel Mudiay,PG,5-Jun,200,March 5 1996,R,,DEN,2016
0,Darrell Arthur,PF,9-Jun,235,March 25 1988,6,University of Kansas,DEN,2016
0,Avery Bradley,SG,2-Jun,180,November 26 1990,5,University of Texas at Austin,BOS,2016
0,Aaron Brooks,PG,Jun-00,161,January 14 1985,7,University of Oregon,CHI,2016
0,Spencer Hawes,PF,1-Jul,245,April 28 1988,8,University of Washington,CHO,2016
0,Nick Young,SG,7-Jun,210,June 1 1985,8,University of Southern California,LAL,2016
0,Willie Cauley-Stein,C,Jul-00,240,August 18 1993,R,University of Kentucky,SAC,2016
0,Aaron Gordon,PF,9-Jun,220,September 16 1995,1,University of Arizona,ORL,2016
0,Kevin Love,PF,10-Jun,251,September 7 1988,7,University of California Los Angeles,CLE,2016
1,Kevin Seraphin,C,10-Jun,278,December 7 1989,5,,NYK,2016
1,Lance Stephenson,SF,5-Jun,230,September 5 1990,5,University of Cincinnati,MEM,2016
1,Tyreke Evans,PG,6-Jun,220,September 19 1989,6,University of Memphis,NOP,2016
1,Ish Smith,PG,Jun-00,175,July 5 1988,5,Wake Forest University,PHI,2016
1,Joseph Young,PG,2-Jun,180,June 27 1992,R,University of Oregon,IND,2016
1,Justin Anderson,SG,6-Jun,228,November 19 1993,R,University of Virginia,DAL,2016
1,Chris Bosh,PF,11-Jun,235,March 24 1984,12,Georgia Institute of Technology,MIA,2016
1,Chris McCullough,PF,11-Jun,200,February 5 1995,R,Syracuse University,BRK,2016
1,Kyle Anderson,SF,9-Jun,230,September 20 1993,1,University of California Los Angeles,SAS,2016
1,Reggie Jackson,PG,3-Jun,208,April 16 1990,4,Boston College,DET,2016
1,Trevor Ariza,SF,8-Jun,215,June 30 1985,11,University of California Los Angeles,HOU,2016
1,Jameer Nelson,PG,Jun-00,190,February 9 1982,11,Saint Joseph's University,DEN,2016
1,Derrick Rose,PG,3-Jun,190,October 4 1988,6,University of Memphis,CHI,2016
1,Devin Booker,SG,6-Jun,206,October 30 1996,R,University of Kentucky,PHO,2016
1,Jared Dudley,PF,7-Jun,225,July 10 1985,8,Boston College,WAS,2016
1,Tyus Jones,PG,2-Jun,195,May 10 1996,R,Duke University,MIN,2016
1,Courtney Lee,SG,5-Jun,200,October 3 1985,7,Western Kentucky University,CHO,2016
1,D'Angelo Russell,PG,5-Jun,195,February 23 1996,R,Ohio State University,LAL,2016
1,Jason Thompson,C,11-Jun,250,July 21 1986,7,Rider University,TOR,2016
1,James Jones,SF,8-Jun,218,October 4 1980,12,University of Miami,CLE,2016
2,Langston Galloway,PG,2-Jun,200,December 9 1991,1,Saint Joseph's University,NYK,2016
2,Anthony Morrow,SG,5-Jun,210,September 27 1985,7,Georgia Institute of Technology,OKC,2016
2,Brian Roberts,PG,1-Jun,173,December 3 1985,3,University of Dayton,POR,2016
2,Tim Frazier,PG,1-Jun,170,November 1 1990,1,Pennsylvania State University,NOP,2016
2,Rodney Stuckey,PG,5-Jun,205,April 21 1986,8,Eastern Washington University,IND,2016
2,Raymond Felton,PG,1-Jun,205,June 26 1984,10,University of North Carolina,DAL,2016
2,Joe Johnson,SF,7-Jun,240,June 29 1981,14,University of Arkansas,MIA,2016
2,Jarrett Jack,PG,3-Jun,200,October 28 1983,10,Georgia Institute of Technology,BRK,2016
2,Kawhi Leonard,SF,7-Jun,230,June 29 1991,4,San Diego State University,SAS,2016
2,Patrick Beverley,PG,1-Jun,185,July 12 1988,3,University of Arkansas,HOU,2016
2,Eric Bledsoe,PG,1-Jun,190,December 9 1989,5,University of Kentucky,PHO,2016
2,John Wall,PG,4-Jun,195,September 6 1990,5,University of Kentucky,WAS,2016
2,Marvin Williams,PF,9-Jun,237,June 19 1986,10,University of North Carolina,CHO,2016
2,Brandon Bass,PF,8-Jun,250,April 30 1985,10,Louisiana State University,LAL,2016
2,Joe Ingles,SF,8-Jun,226,October 2 1987,1,,UTA,2016
2,Kyrie Irving,PG,3-Jun,193,March 23 1992,4,Duke University,CLE,2016
3,Jose Calderon,PG,3-Jun,200,September 28 1981,10,,NYK,2016
3,Jordan Adams,SG,5-Jun,209,July 8 1994,1,University of California Los Angeles,MEM,2016
3,Dion Waiters,SG,4-Jun,225,December 10 1991,3,Syracuse University,OKC,2016
3,C.J. McCollum,SG,4-Jun,200,September 19 1991,2,Lehigh University,POR,2016
3,Omer Asik,C,Jul-00,255,July 4 1986,5,,NOP,2016
3,George Hill,PG,3-Jun,188,May 4 1986,7,Indiana University-Purdue University Indianapolis,IND,2016
3,Charlie Villanueva,PF,11-Jun,232,August 24 1984,10,University of Connecticut,DAL,2016
