
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,7,University of Texas at Austin
5,Will Barton,SG,6-6,175,January 6 1991,1,University of Memphis
88,Nicolas Batum,SF,6-8,200,December 14 1988,5,
18,Victor Claver,SF,6-9,224,August 30 1988,1,
23,Allen Crabbe,SG,6-6,210,April 9 1992,R,University of California
19,Joel Freeland,C,6-10,250,February 7 1987,1,
11,Meyers Leonard,C,7-1,245,February 27 1992,1,University of Illinois at Urbana-Champaign
0,Damian Lillard,PG,6-3,195,July 15 1990,1,Weber State University
42,Robin Lopez,C,7-0,255,April 1 1988,5,Stanford University
2,Wesley Matthews,SG,6-5,220,October 14 1986,4,Marquette University
3,C.J. McCollum,SG,6-4,200,September 19 1991,R,Lehigh University
41,Thomas Robinson,PF,6-10,237,March 17 1991,1,University of Kansas
17,Earl Watson,PG,6-1,195,June 12 1979,12,University of California Los Angeles
25,Mo Williams,PG,6-1,198,December 19 1982,10,University of Alabama
1,Dorell Wright,SF,6-7,200,December 2 1985,9,
