
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Pero Antic,PF,6-11,260,July 29 1982,R,
14,Gustavo Ayon,C,6-10,250,April 1 1985,2,
42,Elton Brand,PF,6-8,275,March 11 1979,14,Duke University
5,DeMarre Carroll,SF,6-8,212,July 27 1986,4,University of Missouri
7,Jared Cunningham,SG,6-4,195,May 22 1991,1,Oregon State University
15,Al Horford,C,6-10,245,June 3 1986,6,University of Florida
12,John Jenkins,SG,6-4,215,March 6 1991,1,Vanderbilt University
26,Kyle Korver,SG,6-7,212,March 17 1981,10,Creighton University
8,Shelvin Mack,PG,6-3,203,April 22 1990,2,Butler University
20,Cartier Martin,SF,6-7,220,November 20 1984,5,Kansas State University
4,Paul Millsap,PF,6-8,246,February 10 1985,7,Louisiana Tech University
31,Mike Muscala,PF,6-11,240,July 1 1991,R,Bucknell University
2,James Nunnally,SF,6-7,205,July 14 1990,R,University of California Santa Barbara
45,Dexter Pittman,C,6-11,308,March 2 1988,3,University of Texas at Austin
17,Dennis Schroder,PG,6-1,172,September 15 1993,R,
32,Mike Scott,PF,6-8,237,July 16 1988,1,University of Virginia
0,Jeff Teague,PG,6-2,186,June 10 1988,4,Wake Forest University
3,Lou Williams,PG,6-1,175,October 27 1986,8,
