
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,John Wall,21,66,66,2386,378,894,.423,3,42,.071,375,852,.440,.424,317,402,.789,48,252,300,530,95,57,255,137,1076
2,Jordan Crawford,23,64,32,1753,349,872,.400,79,273,.289,270,599,.451,.446,161,203,.793,44,124,168,190,59,5,141,111,938
3,Chris Singleton,22,66,51,1431,116,312,.372,44,127,.346,72,185,.389,.442,30,44,.682,43,190,233,49,70,30,38,176,306
4,Trevor Booker,24,50,32,1261,181,341,.531,1,2,.500,180,339,.531,.532,56,93,.602,119,206,325,40,48,43,58,138,419
5,Nick Young,26,40,32,1211,240,591,.406,73,197,.371,167,394,.424,.468,112,130,.862,20,77,97,46,30,11,59,90,665
6,Kevin Seraphin,22,57,21,1176,203,382,.531,0,1,.000,203,381,.533,.531,47,70,.671,103,177,280,33,19,76,66,133,453
7,JaVale McGee,24,41,40,1124,214,400,.535,0,0,,214,400,.535,.535,58,116,.500,127,235,362,25,25,101,68,118,486
8,Jan Vesely,21,57,20,1078,117,218,.537,0,1,.000,117,217,.539,.537,33,62,.532,101,148,249,47,39,32,60,156,267
9,Shelvin Mack,21,64,0,779,88,220,.400,12,42,.286,76,178,.427,.427,42,59,.712,12,80,92,131,28,2,48,50,230
10,Rashard Lewis,32,28,15,729,85,221,.385,16,67,.239,69,154,.448,.421,31,37,.838,34,75,109,27,23,10,32,49,217
11,Roger Mason,31,52,0,697,103,258,.399,59,154,.383,44,104,.423,.514,21,27,.778,7,62,69,47,13,5,32,33,286
12,Andray Blatche,25,26,13,626,93,245,.380,2,7,.286,91,238,.382,.384,33,49,.673,42,108,150,28,20,17,37,54,221
13,Cartier Martin,27,17,2,391,59,134,.440,29,75,.387,30,59,.508,.549,11,19,.579,12,46,58,10,11,2,13,35,158
14,Maurice Evans,33,24,0,343,45,112,.402,17,45,.378,28,67,.418,.478,10,13,.769,8,16,24,9,14,0,10,36,117
15,Nene Hilario,29,11,6,284,68,112,.607,0,2,.000,68,110,.618,.607,23,35,.657,20,63,83,19,6,13,19,26,159
16,James Singleton,30,12,0,262,41,75,.547,2,9,.222,39,66,.591,.560,14,15,.933,25,56,81,15,9,8,10,27,98
17,Brian Cook,31,16,0,155,20,49,.408,5,23,.217,15,26,.577,.459,5,6,.833,6,34,40,8,4,1,7,22,50
18,Morris Almond,26,4,0,67,6,17,.353,1,3,.333,5,14,.357,.382,1,3,.333,1,7,8,2,7,0,1,6,14
19,Ronny Turiaf,29,4,0,58,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,1,11,12,5,6,3,6,7,6
20,Edwin Ubiles,25,4,0,52,5,18,.278,1,5,.200,4,13,.308,.306,3,3,1.000,2,8,10,1,1,1,1,1,14
21,Hamady N'Diaye,25,3,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,66,,15865,2414,5475,.441,344,1075,.320,2070,4400,.470,.472,1008,1386,.727,775,1975,2750,1262,527,417,1008,1405,6180
