SEASON_ID,TEAM_ID,GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
41996,1610612738,Players,344,Dana Barros,24,6,18,0.25,30.2,4.6,10.5,0.435,1.8,4.4,0.41,1.5,1.8,0.86,0.2,1.8,2.0,3.4,1.6,1.1,0.3,0.5,1.3,0.0,12.5,-4.0,0,0,16.7933754198
41996,1610612738,Players,133,David Wesley,74,13,61,0.176,41.7,6.2,13.2,0.468,1.4,3.9,0.36,3.0,3.9,0.781,0.9,2.7,3.6,7.3,2.9,2.2,0.2,0.8,2.8,0.0,16.8,-5.5,15,0,19.2859265778
41996,1610612738,Players,244,Dee Brown,21,4,17,0.19,25.5,2.9,7.9,0.367,1.0,3.1,0.308,0.9,1.0,0.818,0.4,1.9,2.3,3.2,1.1,1.5,0.3,0.3,2.1,0.0,7.6,-3.1,0,0,13.186015958
41996,1610612738,Players,129,Dino Radja,25,6,19,0.24,36.1,6.0,13.6,0.44,0.0,0.0,0.0,2.0,2.8,0.718,1.8,6.7,8.4,1.9,2.8,0.9,1.9,1.1,2.8,0.1,14.0,-2.8,7,0,14.3826191281
41996,1610612738,Players,677,Eric Williams,72,13,59,0.181,34.8,5.2,11.4,0.456,0.0,0.1,0.25,4.6,6.1,0.752,1.7,2.8,4.6,1.8,1.9,1.0,0.2,1.2,2.7,0.0,15.0,-5.3,3,0,15.4484646643
41996,1610612738,Players,783,Frank Brickowski,17,5,12,0.294,15.5,1.9,4.3,0.438,0.4,1.2,0.35,0.6,0.8,0.714,0.4,1.6,2.0,0.9,1.1,0.3,0.2,0.2,2.4,0.0,4.8,-7.0,0,0,7.04030396413
41996,1610612738,Players,65,Greg Minor,23,6,17,0.261,24.8,4.1,8.5,0.48,0.0,0.3,0.125,1.3,1.6,0.861,1.3,2.2,3.5,1.5,1.0,0.7,0.1,0.7,1.8,0.0,9.6,-0.7,0,0,14.9818196279
41996,1610612738,Players,55,Marty Conlon,74,13,61,0.176,22.5,2.9,6.1,0.471,0.0,0.1,0.2,1.9,2.3,0.842,1.7,2.6,4.4,1.4,1.5,0.6,0.2,0.6,2.0,0.0,7.8,-3.2,5,0,14.1402957527
41996,1610612738,Players,1138,Michael Hawkins,29,3,26,0.103,11.7,1.0,2.3,0.426,0.3,1.1,0.323,0.4,0.5,0.8,0.3,0.8,1.1,2.2,1.0,0.6,0.0,0.1,1.3,0.0,2.8,-1.8,0,0,11.4137911128
41996,1610612738,Players,1041,Nate Driggers,15,3,12,0.2,9.2,0.9,2.9,0.302,0.0,0.6,0.0,0.7,0.9,0.714,0.8,0.7,1.5,0.4,0.4,0.2,0.1,0.4,0.7,0.0,2.4,-4.5,0,0,7.78637237608
41996,1610612738,Players,442,Pervis Ellison,6,1,5,0.167,21.1,1.0,2.7,0.375,0.0,0.0,0.0,0.5,0.8,0.6,1.5,2.8,4.3,0.7,1.2,0.8,1.5,0.3,3.2,0.0,2.5,1.3,0,0,6.52453999051
41996,1610612738,Players,296,Rick Fox,76,14,62,0.184,35.9,5.7,12.5,0.456,1.3,3.7,0.363,2.7,3.5,0.787,1.5,3.7,5.2,3.8,2.3,2.2,0.5,1.1,3.4,0.0,15.4,-4.6,4,0,18.9673993704
41996,1610612738,Players,351,Stacey King,5,1,4,0.2,7.0,1.0,1.4,0.714,0.0,0.0,0.0,0.4,0.6,0.667,0.2,1.6,1.8,0.2,0.2,0.0,0.2,0.2,0.6,0.0,2.4,-2.4,0,0,17.8261632164
41996,1610612738,Players,984,Steve Hamer,35,4,31,0.114,8.0,0.9,1.6,0.526,0.0,0.1,0.0,0.5,0.8,0.552,0.5,1.2,1.7,0.2,0.4,0.1,0.1,0.2,1.0,0.0,2.2,0.0,0,0,11.0073892933
41996,1610612738,Players,103,Todd Day,81,14,67,0.173,29.2,4.9,12.3,0.398,1.6,4.3,0.362,3.2,4.1,0.773,1.3,2.7,4.1,1.4,1.6,1.3,0.6,0.8,2.5,0.0,14.5,-3.6,1,0,17.6471670122
