win,pos avg. age, avg. weight

win,pos avg. age, avg. weight

0, "ORL", 2011, 7

0, "ORL", 2012, 5

0, "ORL", 2013, 3

0, "ORL", 2014, 3

0, "ORL", 2015, 3

0, "ORL", 2016, 3

0, "PHI", 2008, 3

0, "PHI", 2009, 6

0, "PHI", 2010, 4

0, "PHI", 2011, 5

0, "PHI", 2012, 4

0, "PHI", 2013, 4

0, "PHI", 2014, 1

0, "PHI", 2015, 1

0, "PHI", 2016, 2

0, "PHO", 2008, 6

0, "PHO", 2009, 5

0, "PHO", 2010, 4

0, "PHO", 2011, 5

0, "PHO", 2012, 6

0, "PHO", 2013, 3

0, "PHO", 2014, 3

0, "PHO", 2015, 3

0, "PHO", 2016, 4

0, "POR", 2008, 2

0, "POR", 2009, 2

0, "POR", 2010, 4

0, "POR", 2011, 4

0, "POR", 2012, 5

0, "POR", 2013, 3

0, "POR", 2014, 3

0, "POR", 2015, 4

0, "POR", 2016, 3

0, "SAC", 2008, 5

0, "SAC", 2009, 4

0, "SAC", 2010, 3

0, "SAC", 2011, 2

0, "SAC", 2012, 3

0, "SAC", 2013, 3

0, "SAC", 2014, 4

0, "SAC", 2015, 4

0, "SAC", 2016, 5

0, "SAS", 2008, 5

0, "SAS", 2009, 5

0, "SAS", 2010, 5

0, "SAS", 2011, 4

0, "SAS", 2012, 4

0, "SAS", 2014, 5

0, "SAS", 2015, 6

0, "SAS", 2016, 8

0, "SEA", 2008, 4

0, "TOR", 2008, 3

0, "TOR", 2009, 3

0, "TOR", 2010, 4

0, "TOR", 2011, 3

0, "TOR", 2012, 4

0, "TOR", 2013, 4

0, "TOR", 2014, 4

0, "TOR", 2015, 4

0, "TOR", 2016, 4

0, "UTA", 2008, 3

0, "UTA", 2009, 4

0, "UTA", 2010, 3

0, "UTA", 2011, 4

0, "UTA", 2012, 4

0, "UTA", 2013, 4

0, "UTA", 2014, 4

0, "UTA", 2015, 1

0, "UTA", 2016, 2

0, "WAS", 2008, 4

0, "WAS", 2009, 4

0, "WAS", 2010, 4

0, "WAS", 2011, 3

0, "WAS", 2012, 3

0, "WAS", 2013, 4

0, "WAS", 2014, 5

0, "WAS", 2015, 7

0, "WAS", 2016, 5

1, "DAL", 2010, 7

1, "GSW", 2014, 4

1, "LAL", 2008, 4

1, "LAL", 2009, 5

1, "MIA", 2011, 8

1, "MIA", 2012, 6

1, "SAS", 2013, 5

